"sample_raw_id","feature_id","name_sirius","smiles_sirius","InChI_sirius","NPC.pathway_canopus","NPC.superclass_canopus","RF_importance","Mature - Young.sample_raw_id","Mature - Young.group","Mature - Young.posthoc_Pvalue","Mature - Young.log10P"
"11","X1011_518.26_4.9_peak",1011,"null","CN1C(=CC(=N1)C2CCCCC2)C3CN4CCC3CC4CNC(=S)NC5=CC=CC(=C5)C(=O)OC","InChI=1S/C27H37N5O2S/c1-31-25(15-24(30-31)18-7-4-3-5-8-18)23-17-32-12-11-19(23)14-22(32)16-28-27(35)29-21-10-6-9-20(13-21)26(33)34-2/h6,9-10,13,15,18-19,22-23H,3-5,7-8,11-12,14,16-17H2,1-2H3,(H2,28,29,35)","Alkaloids","Tryptophan alkaloids",NA,"X1011_518.26_4.9_peak","Mature - Young",0.294957862151523,1.53024002314794
"12","X1012_431.17_6.6_peak",1012,"null","COC1=CC=C(C=C1)CN2C3CN(CC3OCC2=O)CC4=CC=C(C=C4)S(=O)(=O)C","InChI=1S/C22H26N2O5S/c1-28-18-7-3-17(4-8-18)12-24-20-13-23(14-21(20)29-15-22(24)25)11-16-5-9-19(10-6-16)30(2,26)27/h3-10,20-21H,11-15H2,1-2H3","Shikimates and Phenylpropanoids","Coumarins",NA,"X1012_431.17_6.6_peak","Mature - Young",0.239411503673223,1.62085498566824
"13","X1014_621.3_4.9_peak",1014,"1-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1''-myo-inositol)","CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O","InChI=1S/C27H51O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(29)37-18-20(28)19-38-40(35,36)39-27-25(33)23(31)22(30)24(32)26(27)34/h9-10,20,22-28,30-34H,2-8,11-19H2,1H3,(H,35,36)","Fatty acids","Glycerophospholipids",NA,"X1014_621.3_4.9_peak","Mature - Young",0.376205974223005,1.42457431205123
"14","X1015_381.89_1.1_peak",1015,NA,NA,NA,NA,NA,NA,"X1015_381.89_1.1_peak","Mature - Young",0.760888811153716,1.11867880213933
"15","X1016_790.59_5.6_peak",1016,NA,NA,NA,"Polyketides","Oligopeptides",0.0075,"X1016_790.59_5.6_peak","Mature - Young",0.0462172747252661,2.33519566696322
"16","X1018_298.15_0.7_peak",1018,NA,NA,NA,NA,NA,NA,"X1018_298.15_0.7_peak","Mature - Young",0.502309257851412,1.29902881746711
"17","X1019_237.12_0.8_peak",1019,"Spectrum_000420","CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N","InChI=1S/C12H16N2O3/c1-8(13)11(15)14-10(12(16)17)7-9-5-3-2-4-6-9/h2-6,8,10H,7,13H2,1H3,(H,14,15)(H,16,17)","Amino acids and Peptides","Small peptides",NA,"X1019_237.12_0.8_peak","Mature - Young",0.137870035847443,1.8605301114901
"18","X102_379.1_0.3_peak",102,"null","C(C(C(C(CO)O)O)O)N1C2=C(C(=O)NC(=O)N2)N=C(C1=NC=O)N","InChI=1S/C12H16N6O7/c13-8-10(14-3-20)18(1-4(21)7(23)5(22)2-19)9-6(15-8)11(24)17-12(25)16-9/h3-5,7,19,21-23H,1-2H2,(H2,13,15)(H2,16,17,24,25)","Carbohydrates","Nucleosides",NA,"X102_379.1_0.3_peak","Mature - Young",0.177765320043761,1.75015296092866
"19","X1020_748.54_4.6_peak",1020,NA,NA,NA,"Amino acids and Peptides","Oligopeptides",NA,"X1020_748.54_4.6_peak","Mature - Young",0.0736033434864561,2.13310245706553
"20","X1021_466.23_1.3_peak",1021,NA,NA,NA,NA,NA,NA,"X1021_466.23_1.3_peak","Mature - Young",0.847032923792009,1.07209970850837
"21","X1022_311.68_0.9_peak",1022,NA,NA,NA,NA,NA,NA,"X1022_311.68_0.9_peak","Mature - Young",0.455885258886455,1.34114445054376
"22","X1023_399.21_1.7_peak",1023,NA,NA,NA,NA,NA,NA,"X1023_399.21_1.7_peak","Mature - Young",0.136723821345809,1.86415581185691
"23","X1025_740.47_1.1_peak",1025,"null","CN(C)CC(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CO)C=O","InChI=1S/C30H57N15O7/c1-44(2)15-23(48)45-14-6-10-22(45)27(52)43-21(9-5-13-39-30(35)36)26(51)42-20(8-4-12-38-29(33)34)25(50)41-19(7-3-11-37-28(31)32)24(49)40-18(16-46)17-47/h16,18-22,47H,3-15,17H2,1-2H3,(H,40,49)(H,41,50)(H,42,51)(H,43,52)(H4,31,32,37)(H4,33,34,38)(H4,35,36,39)","Amino acids and Peptides","Oligopeptides",NA,"X1025_740.47_1.1_peak","Mature - Young",0.755056829413534,1.12202035993123
"24","X1026_715.39_2_peak",1026,NA,NA,NA,NA,NA,NA,"X1026_715.39_2_peak","Mature - Young",0.862535165467697,1.06422318975353
"25","X1028_423.26_0.7_peak",1028,"6-amino-2-[[2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoyl]amino]hexanoic acid","CCC(C)C(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N","InChI=1S/C21H34N4O5/c1-3-13(2)18(20(28)24-17(21(29)30)6-4-5-11-22)25-19(27)16(23)12-14-7-9-15(26)10-8-14/h7-10,13,16-18,26H,3-6,11-12,22-23H2,1-2H3,(H,24,28)(H,25,27)(H,29,30)","Amino acids and Peptides","Small peptides",NA,"X1028_423.26_0.7_peak","Mature - Young",0.0864158614643175,2.06340653629194
"26","X1029_471.76_1.7_peak",1029,NA,NA,NA,NA,NA,NA,"X1029_471.76_1.7_peak","Mature - Young",0.475489687292613,1.32285889786533
"27","X1030_518.49_8_peak",1030,"(3,5-ditert-butyl-4-hydroxyphenyl)methyl-(hexadecoxymethyl)-dimethylazanium","CCCCCCCCCCCCCCCCOC[N+](C)(C)CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C","InChI=1S/C34H63NO2/c1-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-37-28-35(8,9)27-29-25-30(33(2,3)4)32(36)31(26-29)34(5,6)7/h25-26H,10-24,27-28H2,1-9H3/p+1","Fatty acids","Sphingolipids",NA,"X1030_518.49_8_peak","Mature - Young",0.338534527455568,1.4703970306163
"28","X1031_546.45_7.5_peak",1031,"null","CCCCCCCCCCCCC(C(=O)NC(CO)C(C=CCCC=CCCCCCCCCC)O)O","InChI=1S/C32H61NO4/c1-3-5-7-9-11-13-15-16-17-19-20-22-24-26-30(35)29(28-34)33-32(37)31(36)27-25-23-21-18-14-12-10-8-6-4-2/h17,19,24,26,29-31,34-36H,3-16,18,20-23,25,27-28H2,1-2H3,(H,33,37)","Terpenoids","Diterpenoids",NA,"X1031_546.45_7.5_peak","Mature - Young",0.393429369845631,1.40513322274462
"29","X1033_466.41_6.2_peak",1033,"null","CCCCCCCCCCCC(=O)N(CCCCCN=C(N)N)CCCNC(=O)C=C(C)C","InChI=1S/C26H51N5O2/c1-4-5-6-7-8-9-10-11-13-17-25(33)31(20-15-12-14-18-30-26(27)28)21-16-19-29-24(32)22-23(2)3/h22H,4-21H2,1-3H3,(H,29,32)(H4,27,28,30)","Alkaloids","Ornithine alkaloids",NA,"X1033_466.41_6.2_peak","Mature - Young",0.117892115159491,1.92851524034371
"30","X1034_239.13_4_peak",1034,"5-(3,4-dimethoxyphenyl)pentanoate","COC1=C(C=C(C=C1)CCCCC(=O)O)OC","InChI=1S/C13H18O4/c1-16-11-8-7-10(9-12(11)17-2)5-3-4-6-13(14)15/h7-9H,3-6H2,1-2H3,(H,14,15)","Fatty acids","Fatty Acids and Conjugates",NA,"X1034_239.13_4_peak","Mature - Young",0.17637872435043,1.75355380273291
"31","X1035_375.19_0.5_peak",1035,"L-leucyl-L-alpha-aspartyl-L-glutamine","CC(C)CC(C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)N)C(=O)O)N","InChI=1S/C15H26N4O7/c1-7(2)5-8(16)13(23)19-10(6-12(21)22)14(24)18-9(15(25)26)3-4-11(17)20/h7-10H,3-6,16H2,1-2H3,(H2,17,20)(H,18,24)(H,19,23)(H,21,22)(H,25,26)","Amino acids and Peptides","Small peptides",NA,"X1035_375.19_0.5_peak","Mature - Young",0.058035384737676,2.23630713211743
"32","X1036_316.19_1_peak",1036,"null","C1=CC=C(C=C1)OCC2=CC=C(C=C2)CCN(CCO)CCO","InChI=1S/C19H25NO3/c21-14-12-20(13-15-22)11-10-17-6-8-18(9-7-17)16-23-19-4-2-1-3-5-19/h1-9,21-22H,10-16H2","Alkaloids","Lysine alkaloids",NA,"X1036_316.19_1_peak","Mature - Young",0.800026239932974,1.09689576841905
"33","X1038_391.75_8.4_peak",1038,NA,NA,NA,NA,NA,NA,"X1038_391.75_8.4_peak","Mature - Young",0.83997183031129,1.07573527839705
"34","X1039_337.24_4.1_peak",1039,NA,NA,NA,NA,NA,NA,"X1039_337.24_4.1_peak","Mature - Young",0.820714880337974,1.08580769233515
"35","X104_393.3_6.8_peak",104,NA,NA,NA,NA,NA,0.006,"X104_393.3_6.8_peak","Mature - Young",0.0319116639625392,2.496050549899
"36","X1040_538.25_4.8_peak",1040,"Rebimastat (USAN/INN)","CC(C)CC(C(=O)NC(C(=O)NC)C(C)(C)C)NC(=O)C(CCN1C(=O)C(N(C1=O)C)(C)C)S","InChI=1S/C23H41N5O5S/c1-13(2)12-14(17(29)26-16(19(31)24-8)22(3,4)5)25-18(30)15(34)10-11-28-20(32)23(6,7)27(9)21(28)33/h13-16,34H,10-12H2,1-9H3,(H,24,31)(H,25,30)(H,26,29)","Alkaloids","Small peptides",NA,"X1040_538.25_4.8_peak","Mature - Young",0.921960984420334,1.03528745704775
"37","X1042_539.05_6.3_peak",1042,NA,NA,NA,NA,NA,0.006,"X1042_539.05_6.3_peak","Mature - Young",0.0451572394900759,2.34527261481772
"38","X1043_643.28_4.3_peak",1043,"1-arachidonoyl-phosphatidylinositol","CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O","InChI=1S/C29H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(31)39-20-22(30)21-40-42(37,38)41-29-27(35)25(33)24(32)26(34)28(29)36/h6-7,9-10,12-13,15-16,22,24-30,32-36H,2-5,8,11,14,17-21H2,1H3,(H,37,38)","Fatty acids","Glycerophospholipids",0.015,"X1043_643.28_4.3_peak","Mature - Young",0.025458906464582,2.59416025451572
"39","X1044_266.17_2.7_peak",1044,NA,NA,NA,NA,NA,NA,"X1044_266.17_2.7_peak","Mature - Young",0.116549999401438,1.9334877243738
"40","X1045_744.59_6.6_peak",1045,NA,NA,NA,"Amino acids and Peptides","Oligopeptides",NA,"X1045_744.59_6.6_peak","Mature - Young",0.303998883415654,1.51712801154687
"41","X1047_823.39_2.6_peak",1047,NA,NA,NA,NA,NA,NA,"X1047_823.39_2.6_peak","Mature - Young",0.987354195575464,1.00552702403793
"42","X1049_330.13_4.3_peak",1049,NA,NA,NA,NA,NA,NA,"X1049_330.13_4.3_peak","Mature - Young",0.0629373547606294,2.2010915143145
"43","X105_447.29_2_peak",105,NA,NA,NA,NA,NA,NA,"X105_447.29_2_peak","Mature - Young",0.791957929179988,1.1012978886255
"44","X1050_459.33_5_peak",1050,NA,NA,NA,NA,NA,NA,"X1050_459.33_5_peak","Mature - Young",0.0862037041716066,2.06447407214831
"45","X1051_565.35_4.8_peak",1051,NA,NA,NA,NA,NA,NA,"X1051_565.35_4.8_peak","Mature - Young",0.162220828721182,1.78989338429304
"46","X1052_284.68_0.7_peak",1052,NA,NA,NA,NA,NA,NA,"X1052_284.68_0.7_peak","Mature - Young",0.1165521111293,1.93347985561829
"47","X1053_520.3_4.8_peak",1053,NA,NA,NA,NA,NA,NA,"X1053_520.3_4.8_peak","Mature - Young",0.421706788248607,1.37498940805513
"48","X1054_385.66_1.1_peak",1054,NA,NA,NA,NA,NA,NA,"X1054_385.66_1.1_peak","Mature - Young",0.883193518458387,1.05394412678436
"49","X1055_672.53_5.9_peak",1055,"2,3-dipalmitoyl-S-glyceryl cysteine","CCCCCCCCCCCCCCCC(=O)OCC(CSCC(C(=O)O)N)OC(=O)CCCCCCCCCCCCCCC","InChI=1S/C38H73NO6S/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(40)44-31-34(32-46-33-35(39)38(42)43)45-37(41)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h34-35H,3-33,39H2,1-2H3,(H,42,43)","Fatty acids","Glycerolipids",NA,"X1055_672.53_5.9_peak","Mature - Young",0.0777439374303745,2.10933346780842
"50","X1056_396.21_1.3_peak",1056,"null","CC(C)NC(=O)NCC1C(C(C(O1)CC(=O)NCC2=CC=C(C=C2)OC)O)O","InChI=1S/C19H29N3O6/c1-11(2)22-19(26)21-10-15-18(25)17(24)14(28-15)8-16(23)20-9-12-4-6-13(27-3)7-5-12/h4-7,11,14-15,17-18,24-25H,8-10H2,1-3H3,(H,20,23)(H2,21,22,26)","Amino acids and Peptides","Small peptides",NA,"X1056_396.21_1.3_peak","Mature - Young",0.952103323391288,1.02131591890148
"51","X1057_617.31_1.7_peak",1057,NA,NA,NA,NA,NA,NA,"X1057_617.31_1.7_peak","Mature - Young",0.712463786352763,1.14723720540627
"52","X1059_788.61_6.6_peak",1059,"Phophatidylethanolamine(24:1/15:0)","CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN","InChI=1S/C44H86NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45)53-44(47)37-35-33-31-29-26-16-14-12-10-8-6-4-2/h17-18,42H,3-16,19-41,45H2,1-2H3,(H,48,49)","Fatty acids","Glycerophospholipids",NA,"X1059_788.61_6.6_peak","Mature - Young",0.0817410549476559,2.08755976159642
"53","X106_528.41_4.6_peak",106,"Decyloctaglycol","CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO","InChI=1S/C26H54O9/c1-2-3-4-5-6-7-8-9-11-28-13-15-30-17-19-32-21-23-34-25-26-35-24-22-33-20-18-31-16-14-29-12-10-27/h27H,2-26H2,1H3","Fatty acids","Glycerolipids",NA,"X106_528.41_4.6_peak","Mature - Young",0.0825491089826039,2.08328761005748
"54","X1060_403.31_4.1_peak",1060,"null","CC1C(CC(C(O1)OC(C)CCCCCCCCCCCCCC(=O)O)O)O","InChI=1S/C22H42O6/c1-17(27-22-20(24)16-19(23)18(2)28-22)14-12-10-8-6-4-3-5-7-9-11-13-15-21(25)26/h17-20,22-24H,3-16H2,1-2H3,(H,25,26)","Fatty acids","Fatty Acids and Conjugates",NA,"X1060_403.31_4.1_peak","Mature - Young",0.0684496576358669,2.16462871973197
"55","X1061_592.32_1_peak",1061,"methyl 2-[3-[[3-(6-amino-2-butoxy-8-oxo-7H-purin-9-yl)propyl-(3-morpholin-4-ylpropyl)amino]methyl]phenyl]acetate","CCCCOC1=NC(=C2C(=N1)N(C(=O)N2)CCCN(CCCN3CCOCC3)CC4=CC=CC(=C4)CC(=O)OC)N","InChI=1S/C29H43N7O5/c1-3-4-16-41-28-32-26(30)25-27(33-28)36(29(38)31-25)13-7-12-35(11-6-10-34-14-17-40-18-15-34)21-23-9-5-8-22(19-23)20-24(37)39-2/h5,8-9,19H,3-4,6-7,10-18,20-21H2,1-2H3,(H,31,38)(H2,30,32,33)","Amino acids and Peptides","Small peptides",NA,"X1061_592.32_1_peak","Mature - Young",0.441318204724796,1.35524815719262
"56","X1062_361.2_0.6_peak",1062,"ACMC-20lebt","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CCCN=C(N)N)C(=O)O)N","InChI=1S/C17H24N6O3/c18-12(8-10-9-22-13-5-2-1-4-11(10)13)15(24)23-14(16(25)26)6-3-7-21-17(19)20/h1-2,4-5,9,12,14,22H,3,6-8,18H2,(H,23,24)(H,25,26)(H4,19,20,21)","Amino acids and Peptides","Small peptides",NA,"X1062_361.2_0.6_peak","Mature - Young",0.125749798996688,1.90049270046447
"57","X1063_348.71_1_peak",1063,NA,NA,NA,NA,NA,NA,"X1063_348.71_1_peak","Mature - Young",0.780820264975204,1.10744892375748
"58","X1064_289.17_0.9_peak",1064,"N-[[(2R,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]methyl]-3-fluorobenzamide","C=CC1CN2CCC1CC2CNC(=O)C3=CC(=CC=C3)F","InChI=1S/C17H21FN2O/c1-2-12-11-20-7-6-13(12)9-16(20)10-19-17(21)14-4-3-5-15(18)8-14/h2-5,8,12-13,16H,1,6-7,9-11H2,(H,19,21)","Alkaloids","Lysine alkaloids",NA,"X1064_289.17_0.9_peak","Mature - Young",0.806447174222795,1.09342407550989
"59","X1065_538.28_2.6_peak",1065,"bmse000927","CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C","InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)","Terpenoids","Steroids",NA,"X1065_538.28_2.6_peak","Mature - Young",0.504686297617158,1.29697848633039
"60","X1067_409.23_1.8_peak",1067,NA,NA,NA,NA,NA,NA,"X1067_409.23_1.8_peak","Mature - Young",0.543847981703659,1.26452247885616
"61","X1068_587.37_4.8_peak",1068,NA,NA,NA,NA,NA,NA,"X1068_587.37_4.8_peak","Mature - Young",0.163852721438879,1.78554634100072
"62","X107_348.2_1.5_peak",107,"3-ethoxy-N-{4-[(4-fluorobenzyl)oxy]-3-methoxybenzyl}propan-1-amine","CCOCCCNCC1=CC(=C(C=C1)OCC2=CC=C(C=C2)F)OC","InChI=1S/C20H26FNO3/c1-3-24-12-4-11-22-14-17-7-10-19(20(13-17)23-2)25-15-16-5-8-18(21)9-6-16/h5-10,13,22H,3-4,11-12,14-15H2,1-2H3","Alkaloids","Small peptides",NA,"X107_348.2_1.5_peak","Mature - Young",0.95647191054606,1.01932777971298
"63","X1071_524.37_6.4_peak",1071,NA,NA,NA,NA,NA,NA,"X1071_524.37_6.4_peak","Mature - Young",0.21528424012844,1.66698776151776
"64","X1073_520.27_5.4_peak",1073,"null","CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(=O)C4)C)O)C","InChI=1S/C26H43NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-17,19-22,24,29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)","Terpenoids","Steroids",NA,"X1073_520.27_5.4_peak","Mature - Young",0.772370784414582,1.11217416214213
"65","X1074_455.29_4.9_peak",1074,NA,NA,NA,NA,NA,NA,"X1074_455.29_4.9_peak","Mature - Young",0.219377956641065,1.65880701299695
"66","X1075_506.29_2.1_peak",1075,NA,NA,NA,NA,NA,NA,"X1075_506.29_2.1_peak","Mature - Young",0.167085695360031,1.77706072959271
"67","X1076_368.18_0.8_peak",1076,"(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxypropanoyl]amino]-3-methylbutanoic acid","CC(C)C(C(=O)O)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)N","InChI=1S/C17H25N3O6/c1-9(2)14(17(25)26)20-16(24)13(8-21)19-15(23)12(18)7-10-3-5-11(22)6-4-10/h3-6,9,12-14,21-22H,7-8,18H2,1-2H3,(H,19,23)(H,20,24)(H,25,26)","Amino acids and Peptides","Small peptides",NA,"X1076_368.18_0.8_peak","Mature - Young",0.812641992680958,1.09010073957986
"68","X1078_732.39_1.7_peak",1078,"(4-((3-Butoxy-2-((hydroxypropoxyphosphinyl)oxy)propyl)ethylamino)-o-tolyl)bis(4-(diethylammonio)phenyl)methylium","CCCCOCC(CN(CC)C1=CC(=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC)C)OP(=O)(O)OCCC","InChI=1S/C40H60N3O5P/c1-9-16-28-46-31-38(48-49(44,45)47-27-10-2)30-43(15-7)37-25-26-39(32(8)29-37)40(33-17-21-35(22-18-33)41(11-3)12-4)34-19-23-36(24-20-34)42(13-5)14-6/h17-26,29,38H,9-16,27-28,30-31H2,1-8H3/p+1","Amino acids and Peptides","Oligopeptides",NA,"X1078_732.39_1.7_peak","Mature - Young",0.842555249685201,1.07440161111338
"69","X1079_358.2_0.6_peak",1079,"2-[[4-carboxy-2-(pyrrolidine-2-carbonylamino)butanoyl]amino]-3-methylpentanoic acid","CCC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C1CCCN1","InChI=1S/C16H27N3O6/c1-3-9(2)13(16(24)25)19-15(23)11(6-7-12(20)21)18-14(22)10-5-4-8-17-10/h9-11,13,17H,3-8H2,1-2H3,(H,18,22)(H,19,23)(H,20,21)(H,24,25)","Amino acids and Peptides","Small peptides",0.006,"X1079_358.2_0.6_peak","Mature - Young",0.0148821978791383,2.82733292522203
"70","X1080_330.21_0.9_peak",1080,NA,NA,NA,NA,NA,NA,"X1080_330.21_0.9_peak","Mature - Young",0.136409371292276,1.86515579272412
"71","X1081_230.15_0.6_peak",1081,"null","CC(C)C(C=O)NC(=O)C(C)NC(=O)CN","InChI=1S/C10H19N3O3/c1-6(2)8(5-14)13-10(16)7(3)12-9(15)4-11/h5-8H,4,11H2,1-3H3,(H,12,15)(H,13,16)","Amino acids and Peptides","Small peptides",NA,"X1081_230.15_0.6_peak","Mature - Young",0.0618056672560556,2.20897170055541
"72","X1082_762.56_5_peak",1082,NA,NA,NA,"Amino acids and Peptides","Oligopeptides",NA,"X1082_762.56_5_peak","Mature - Young",0.0792340483025391,2.10108815411332
