"smiles_sirius","InChIkey2D_sirius","rank_sirius","formulaRank_sirius","#adducts_sirius","#predictedFPs_sirius","ConfidenceScore_sirius","CSI:FingerIDScore_sirius","ZodiacScore_sirius","SiriusScore_sirius","molecularFormula_sirius","adduct_sirius","InChI_sirius","name_sirius","xlogp_sirius","pubchemids_sirius","links_sirius","dbflags_sirius","ionMass_sirius","retentionTimeInSeconds_sirius","id_sirius","feature_id","chebiid.x","chebiasciiname.x","searchscore.x","entitystar.x","chebiid.y","chebiasciiname.y","searchscore.y","entitystar.y"
"B(C1=CC=C(C=C1)C2=CC=C(C=C2)OCCCCC)(O)O","DBDYXLZXTNHAFI",1051,1,1,1,"0.12317557498298497",-251.205520974184,1,51.1147451846904,"C17H21BO3","[M + H]+","InChI=1S/C17H21BO3/c1-2-3-4-13-21-17-11-7-15(8-12-17)14-5-9-16(10-6-14)18(19)20/h5-12,19-20H,2-4,13H2,1H3","[4''-(pentyloxy)[1,1''-biphenyl]-4-yl]boronic acid",4.53289461,"11358071","PubChem:(11358071);PubChem class - safety and toxic",67108866,284.169464111328,34.829388,"793_mapp_batch_00026_sirius_240",240,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1=CC=CC=C1COC2=C(C=CC=C2C(C)C)C(C)C)(O)O","HPQFMTHWDXHLCU",993,1,1,1,"0.14333379501502672",-334.613355654702,1,64.0342363050387,"C19H25BO3","[M + H]+","InChI=1S/C19H25BO3/c1-13(2)16-9-7-10-17(14(3)4)19(16)23-12-15-8-5-6-11-18(15)20(21)22/h5-11,13-14,21-22H,12H2,1-4H3","2-[(2,6-Diisopropylphenoxy)methyl]phenylboronic acid",5.02634096,"16218177","PubChem:(16218177);PubChem class - safety and toxic",67108866,312.200958251953,34.18689,"501_mapp_batch_00026_sirius_408",408,NA,NA,NA,NA,NA,NA,NA,NA
"B(C1CCC1)(O)O","MIUALDDWOKMYDA",1190,1,1,1,"0.06528729125020892",-86.5468411546195,1,13.307380994843,"C4H9BO2","[M + H]+","InChI=1S/C4H9BO2/c6-5(7)4-2-1-3-4/h4,6-7H,1-3H2","ACMC-20aebs",0.814036548,"16217845","PubChem:(16217845);PubChem class - drug",33554434,100.080940246582,135.39906,"516_mapp_batch_00026_sirius_3479",3479,NA,NA,NA,NA,NA,NA,NA,NA
"B(CC=C)(OC(C)C)OC(C)C","LWPLTONTMJTRJL",1145,1,1,1,"0.08029479434566292",-153.660238202091,1,8.31555381410904,"C9H19BO2","[M + H]+","InChI=1S/C9H19BO2/c1-6-7-10(11-8(2)3)12-9(4)5/h6,8-9H,1,7H2,2-5H3","Diisopropyl Allylboronate",3.12251234,"11435180","PubChem class - safety and toxic;PubChem:(11435180);PubMed",67108930,170.15966796875,358.350654,"943_mapp_batch_00026_sirius_2812",2812,NA,NA,NA,NA,NA,NA,NA,NA
"B(N(C(C)C)C(C)C)(Cl)Cl","SQJYZIVNKOIKKX",1295,1,1,1,"N/A",-71.0059254879245,0.956281407035176,6.59516157825859,"C6H14BCl2N","[M + K]+","InChI=1S/C6H14BCl2N/c1-5(2)10(6(3)4)7(8)9/h5-6H,1-4H3","Dichloro(diisopropylamino)borane",3.21768141,"4139105","PubChem:(4139105);PubChem class - safety and toxic",67108866,219.026702880859,340.128522,"622_mapp_batch_00026_sirius_283",283,NA,NA,NA,NA,NA,NA,NA,NA
"B1(OC2CC3CC(C3(C)C)C2(O1)C)C4=CC=CC=C4","OZQWJKOXOILFRR",1177,1,1,1,"0.0696823220416172",-344.54983720974,1,13.4744235351307,"C16H21BO2","[M + H]+","InChI=1S/C16H21BO2/c1-15(2)11-9-13(15)16(3)14(10-11)18-17(19-16)12-7-5-4-6-8-12/h4-8,11,13-14H,9-10H2,1-3H3","2,9,9-trimethyl-4-phenyl-3,5-dioxa-4-boratricyclo[6.1.1.0~2,6~]decane",3.68254614,"13204725;13204726;13204727;13204728;11834658;11391198;58961317;99864582;99864584;100632477;102243640;100912112;124630339;124865439","PubChem:(13204725 13204726 13204727 13204728 11834658 11391198 58961317 99864582 99864584 100632477 102243640 100912112 124630339 124865439);PubChem class - safety and toxic",67108866,256.175537109375,64.651818,"1404_mapp_batch_00026_sirius_2161",2161,NA,NA,NA,NA,NA,NA,NA,NA
"B1(OC2CC3CC(C3(C)C)C2(O1)C)C4=CC=CC=C4","OZQWJKOXOILFRR",1165,1,1,1,"0.073881404606155",-342.173020553114,1,13.5692575868774,"C16H21BO2","[M + H]+","InChI=1S/C16H21BO2/c1-15(2)11-9-13(15)16(3)14(10-11)18-17(19-16)12-7-5-4-6-8-12/h4-8,11,13-14H,9-10H2,1-3H3","2,9,9-trimethyl-4-phenyl-3,5-dioxa-4-boratricyclo[6.1.1.0~2,6~]decane",3.68254614,"13204725;13204726;13204727;13204728;11834658;11391198;58961317;99864582;99864584;100632477;102243640;100912112;124630339;124865439","PubChem:(13204725 13204726 13204727 13204728 11834658 11391198 58961317 99864582 99864584 100632477 102243640 100912112 124630339 124865439);PubChem class - safety and toxic",67108866,256.175506591797,43.6350846,"1525_mapp_batch_00026_sirius_19",19,NA,NA,NA,NA,NA,NA,NA,NA
"B12OC(CN(CC(O1)C)CC(O2)C)C","IWKGJTDSJPLUCE",697,1,1,1,"0.2628944678695669",-274.661315564782,1,46.5347125243095,"C9H18BNO3","[M + H]+","InChI=1S/C9H18BNO3/c1-7-4-11-5-8(2)13-10(12-7)14-9(3)6-11/h7-9H,4-6H2,1-3H3","Borester 21",1.06672609,"225550;13436517;13436518;99737994;124770176;133660866","NORMAN:(NS00015503);PubChem class - safety and toxic;PubChem:(225550 13436517 13436518 99737994 124770176 133660866)",67371010,199.149147033691,48.9458268,"1568_mapp_batch_00026_sirius_1748",1748,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(=O)NN)C(=O)NN","PSIKPHJLTVSQFO",761,1,1,1,"0.2391515146695151",-85.1358732322018,1,18.5163604506712,"C3H8N4O2","[M + K]+","InChI=1S/C3H8N4O2/c4-6-2(8)1-3(9)7-5/h1,4-5H2,(H,6,8)(H,7,9)","ACMC-20akkx",-2.5,"77433","COCONUT:(CNP0313108);Natural Products:(UNPD71577);PubChem:(77433);SuperNatural:(SN00311203);ZINC bio:(ZINC01060535);PubChem class - safety and toxic;PubMed",70295618,171.027969360352,233.133258,"204_mapp_batch_00026_sirius_2898",2898,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C(=O)O)N)C(=O)N","DCXYFEDJOCDNAF",66,1,1,1,"0.9123844929573814",-0.978392922966576,1,35.3584474516525,"C4H8N2O3","[M + H]+","InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)","agedoite",-2.25158358,"236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706","HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)",255847294,133.060882568359,410.91984,"1224_mapp_batch_00026_sirius_722",722,"CHEBI:22653","asparagine","0.06","3","CHEBI:22653","asparagine","2.73","3"
"C(C(C(=O)O)N)N=C(N)N","XNBJHKABANTVCP",938,1,1,1,"0.16735115287618066",-71.6080958009404,1,7.72658237737298,"C4H10N4O2","[M + Na]+","InChI=1S/C4H10N4O2/c5-2(3(9)10)1-8-4(6)7/h2H,1,5H2,(H,9,10)(H4,6,7,8)","NCIStruc1_000284",-4.9000001,"160635;433644;21144812;36688588;40418652","NORMAN:(NS00045446);PubChem:(160635 433644 21144812 36688588 40418652);CHEBI:(136680);ZINC bio:(ZINC01576365 ZINC02384694);PubChem class - bio and metabolites;MeSH:(160635 433644);PubMed",17047654,169.070343017578,407.511042,"565_mapp_batch_00026_sirius_3009",3009,"CHEBI:136680","beta-guanidino-L-alanine","0.06","3",NA,NA,NA,NA
"C(C(C(=O)O)N)O","MTCFGRXMJLQNBG",192,1,1,1,"0.6879135478780636",-14.7453313647367,1,27.9229479371426,"C3H7NO3","[M + H]+","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)","serinium",-1.86654854,"617;5951;71077;134039;450562;3714461;3401347;5460785;5460787;5460788;5460790;5460791;6857549;6857552;6857581;12041169;10796713;10820483;12219625;12219622;12219623;12219624;12219630;12219632;12219635;12219636;12219638;12219643;12219644;10844352;10313095;10351661;16213320;16219990;22803849;54089883;54089884;56630443;58618362;58618368;71308944;71309922;71310240;87278922;88683451;91093289;90477556;89944617;91475723;101132941;101132942;101592080;101209769;101738962;101749546;101755987;101390567;101390568;101472253;101996822;102601306;123213580;124202793;130346520;139194664;139194665","HMDB:(187 3406 62263);PubChem class - food;SuperNatural:(SN00001756 SN00001725);ZINC bio:(ZINC00895034 ZINC00895342);additional;HSDB:(56-45-1);MeSH:(5951);Plantcyc:(D-SERINE SER);PubMed;NORMAN:(NS00002236);COCONUT:(CNP0275512);KNApSAcK:(1393);Natural Products:(UNPD21117 UNPD170561);PubChem:(617 5951 71077 134039 450562 3714461 3401347 5460785 5460787 5460788 5460790 5460791 6857549 6857552 6857581 12041169 10796713 10820483 12219625 12219622 12219623 12219624 12219630 12219632 12219635 12219636 12219638 12219643 12219644 10844352 10313095 10351661 16213320 16219990 22803849 54089883 54089884 56630443 58618362 58618368 71308944 71309922 71310240 87278922 88683451 91093289 90477556 89944617 91475723 101132941 101132942 101592080 101209769 101738962 101749546 101755987 101390567 101390568 101472253 101996822 102601306 123213580 124202793 130346520 139194664 139194665);CHEBI:(35243 16523 32845 32837 17822 33384 32836 35247 32841 17115 32840 32846);PubChem class - bio and metabolites;KEGG:(C00716 C00065 C00740);PubChem class - safety and toxic;YMDB:(112 284);Training Set;PubChem class - drug;Biocyc:(SMA-0000315 SMA-0000344 SER D-SERINE)",255847294,106.050170898438,412.80882,"164_mapp_batch_00026_sirius_211",211,"CHEBI:16523","D-serine","0.06","3","CHEBI:17822","serine","2.72","3"
"C(C(C(C(C(=O)O)N)O)O)OC(=O)N","UXUOQLQNHQVUSQ",1077,1,1,1,"0.11071484375893764",-152.513416394038,1,21.6979749221679,"C6H12N2O6","[M + H]+","InChI=1S/C6H12N2O6/c7-3(5(11)12)4(10)2(9)1-14-6(8)13/h2-4,9-10H,1,7H2,(H2,8,13)(H,11,12)","Carbamoylpolyoxamic acid",-5.30000019,"192958;101470266","MeSH:(192958);PubChem:(192958 101470266);PubMed;KEGG Mine",8589934662,209.077209472656,660.98352,"601_mapp_batch_00026_sirius_745",745,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C(C(C(C(=O)CO)O)O)O)O)O","HSNZZMHEPUFJNZ",1078,1,1,1,"0.11043737513382709",-28.2388498908947,0.999497487437186,10.9948274277928,"C7H14O7","[M + Na]+","InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h3,5-10,12-14H,1-2H2","2-heptulose",-3.9000001,"12600;102926;111066;5459879;12314116;20820696;25791641;25791642;72941451;88431539;92218256;90470841;98052099;101415652;129636398","HMDB:(3219);SuperNatural:(SN00328768 SN00166124 SN00224301 SN00369497);ZINC bio:(ZINC04353180 ZINC09915771);MeSH:(12600 5459879 72941451);PubMed;NORMAN:(NS00047762);COCONUT:(CNP0332839);KNApSAcK:(1125);Natural Products:(UNPD140090 UNPD35460 UNPD119310);PubChem:(12600 102926 111066 5459879 12314116 20820696 25791641 25791642 72941451 88431539 92218256 90470841 98052099 101415652 129636398);YMDB Mine;CHEBI:(78363 16802);PubChem class - bio and metabolites;EcoCyc Mine;KEGG Mine",60149768318,233.063323974609,338.34126,"473_mapp_batch_00026_sirius_489",489,"CHEBI:16802","sedoheptulose","0.06","3","CHEBI:167607","1,3,4,5,6,7-hexahydroxyheptan-2-one","2.37","2"
"C(C(C(C(C(C(C(=O)CO)O)O)O)O)O)O","KSHYQYHHIKNYAY",1086,1,1,1,"0.10744403978917534",-36.423477316647,1,12.6752693075744,"C8H16O8","[M + Na]+","InChI=1S/C8H16O8/c9-1-3(11)5(13)7(15)8(16)6(14)4(12)2-10/h3,5-11,13-16H,1-2H2","(3S,4S,5S,6R,7R)-1,3,4,5,6,7,8-heptahydroxyoctan-2-one",-4.5,"11776414;13940156;10354250;22821287;22821288;22863383;90343125;102060354;129649794;129715963","COCONUT:(CNP0115508);Natural Products:(UNPD24119 UNPD84039);PubChem:(11776414 13940156 10354250 22821287 22821288 22863383 90343125 102060354 129649794 129715963);SuperNatural:(SN00322289 SN00346485)",3178498,263.072540283203,342.446748,"619_mapp_batch_00026_sirius_282",282,"CHEBI:192770","D-glycero-D-altro-octulose","0.04","2",NA,NA,NA,NA
"C(C(C(C(C(CCl)O)O)O)O)O","MRGPKZIDNGFPIU",370,1,1,2,"0.4580796695457405",-56.2550599343453,0.204020100502513,72.3211696319658,"C6H13ClO5","[M + H]+","InChI=1S/C6H13ClO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-6,8-12H,1-2H2","6-Chloro-6-deoxyglucitol",-1.43006432,"131735;18640553;19365638;54087131;54087132;88718787;88781690","MeSH:(131735);PubChem:(131735 18640553 19365638 54087131 54087132 88718787 88781690);PubMed",70,201.052444458008,380.800548,"1742_mapp_batch_00026_sirius_1134",1134,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C(C(C(CO)O)O)O)O)N","SDOFMBGMRVAJNF",663,1,1,1,"0.2791731047973042",-67.812034020898,1,65.8724660458029,"C6H15NO5","[M + H]+","InChI=1S/C6H15NO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-6,8-12H,1-2,7H2","D-Glucamine",-3.25907588,"10266;452501;7018859;7321552;7321550;7321551;7321553;7321554;7321555;10749902;12310007;22863346;22863347;27443253;27443254;27443258;54300056;58974388;71773483;87319070;91079975;102251924;121388378;124134696;129728480;131977324","NORMAN:(NS00005547);PubChem:(10266 452501 7018859 7321552 7321550 7321551 7321553 7321554 7321555 10749902 12310007 22863346 22863347 27443253 27443254 27443258 54300056 58974388 71773483 87319070 91079975 102251924 121388378 124134696 129728480 131977324);YMDB Mine;PubChem class - bio and metabolites;EcoCyc Mine;MeSH:(452501);PubChem class - safety and toxic;PubMed;KEGG Mine",60213690438,182.102523803711,89.005248,"364_mapp_batch_00026_sirius_476",476,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C(C(C(CO)O)O)O)O)N","SDOFMBGMRVAJNF",662,1,1,1,"0.27945250765490054",-67.866783865855,1,66.0714883177457,"C6H15NO5","[M + H]+","InChI=1S/C6H15NO5/c7-1-3(9)5(11)6(12)4(10)2-8/h3-6,8-12H,1-2,7H2","D-Glucamine",-3.25907588,"10266;452501;7018859;7321552;7321550;7321551;7321553;7321554;7321555;10749902;12310007;22863346;22863347;27443253;27443254;27443258;54300056;58974388;71773483;87319070;91079975;102251924;121388378;124134696;129728480;131977324","NORMAN:(NS00005547);PubChem:(10266 452501 7018859 7321552 7321550 7321551 7321553 7321554 7321555 10749902 12310007 22863346 22863347 27443253 27443254 27443258 54300056 58974388 71773483 87319070 91079975 102251924 121388378 124134696 129728480 131977324);YMDB Mine;PubChem class - bio and metabolites;EcoCyc Mine;MeSH:(452501);PubChem class - safety and toxic;PubMed;KEGG Mine",60213690438,182.102523803711,89.005248,"826_mapp_batch_00026_sirius_1444",1444,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C(C(C(CO)O)O)O)O)O","FBPFZTCFMRRESA",194,1,1,1,"0.6850560715049431",-1.04563394934213,1,108.564370721729,"C6H14O6","[M + H]+","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","Sorbogem",-2.67485213,"453;5780;6251;11850;1549089;61892;82170;90540;120700;134038;136460;151263;171554;5460044;5487627;9855659;11513915;9920559;10012587;11008545;11480827;16760165;16760175;17757248;16058491;16211940;16212017;16212965;53790668;57151025;56846618;60161240;71749895;71308275;71308536;71308893;71309037;71309139;71309142;71309249;71309251;71311469;87076217;87367794;87393634;87767135;88909362;87882628;90840509;90888514;91210263;91365133;101274260;102602060;117064296;119081674;121494055;123301630;123434053;122406790;124203186;131668352;129830858;129857159;133688430;134694661;134834790;135385067;137333797;139025093;139025094;139025129;139025131;139025874","HMDB:(107 247 765 11632);PubChem class - food;SuperNatural:(SN00024275 SN00011501 SN00158552 SN00156670 SN00354162 SN00011554 SN00387336 SN00350338 SN00024326 SN00156630);ZINC bio:(ZINC01532640 ZINC02041302 ZINC02530725 ZINC05131989 ZINC05178945 ZINC13545678 ZINC17836367 ZINC18006959 ZINC18010484 ZINC18279893);additional;HSDB:(69-65-8 50-70-4);MeSH:(453 5780 6251 11850 90540 120700 151263 1549089 5460044);Plantcyc:(SORBITOL GALACTITOL MANNITOL CPD-369);PubMed;NORMAN:(NS00008496);COCONUT:(CNP0090389 CNP0190948);KNApSAcK:(1173);Natural Products:(UNPD28851 UNPD99873 UNPD41378 UNPD76203 UNPD83946 UNPD136254 UNPD74415 UNPD170354 UNPD48168);PubChem:(453 5780 6251 11850 1549089 61892 82170 90540 120700 134038 136460 151263 171554 5460044 5487627 9855659 11513915 9920559 10012587 11008545 11480827 16760165 16760175 17757248 16058491 16211940 16212017 16212965 53790668 57151025 56846618 60161240 71749895 71308275 71308536 71308893 71309037 71309139 71309142 71309249 71309251 71311469 87076217 87367794 87393634 87767135 88909362 87882628 90840509 90888514 91210263 91365133 101274260 102602060 117064296 119081674 121494055 123301630 123434053 122406790 124203186 131668352 129830858 129857159 133688430 134694661 134834790 135385067 137333797 139025093 139025094 139025129 139025131 139025874);CHEBI:(87978 17459 17924 16899 16813 125392 134311 138264 18202 28789 38030);PubChem class - bio and metabolites;KEGG:(C01507 C01722 C00392 C21524 C00794 C01489 C01697);PubChem class - safety and toxic;YMDB:(830 87 656 724);Training Set;PubChem class - drug;Biocyc:(SORBITOL CPD-12810 GALACTITOL CPD-369 CPD-15701 CPD-357 CPD-12811 CPD-15703 MANNITOL CPD-15702)",255847294,183.086524963379,303.224568,"28_mapp_batch_00026_sirius_3489",3489,"CHEBI:16813","galactitol","0.05","3","CHEBI:125392","hexane-1,2,3,4,5,6-hexol","2.63","2"
"C(C(C=O)O)C(C(CO)O)O","KDSPLKNONIUZSZ",778,1,1,1,"0.2330768006422981",-37.9597513224445,1,5.54570027006945,"C6H12O5","[M + Na]+","InChI=1S/C6H12O5/c7-2-4(9)1-5(10)6(11)3-8/h2,4-6,8-11H,1,3H2","Glucose, 3-deoxy-",-2.5,"151016;4377708;13159192;13159193;13159194;45109770;51404070;87814510;97050023","MeSH:(151016 4377708 13159193 13159194);PubChem:(151016 4377708 13159192 13159193 13159194 45109770 51404070 87814510 97050023);PubMed;Biocyc:(CPD-8882)",2118,187.057777404785,78.361944,"988_mapp_batch_00026_sirius_4257",4257,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(C=O)O)C(C(CO)O)O","KDSPLKNONIUZSZ",779,2,1,1,"0.23281968818005594",-38.0599517043491,1,5.46925859903276,"C6H12O5","[M + Na]+","InChI=1S/C6H12O5/c7-2-4(9)1-5(10)6(11)3-8/h2,4-6,8-11H,1,3H2","Glucose, 3-deoxy-",-2.5,"151016;4377708;13159192;13159193;13159194;45109770;51404070;87814510;97050023","MeSH:(151016 4377708 13159193 13159194);PubChem:(151016 4377708 13159192 13159193 13159194 45109770 51404070 87814510 97050023);PubMed;Biocyc:(CPD-8882)",2118,187.057823181152,92.78271,"629_mapp_batch_00026_sirius_1412",1412,NA,NA,NA,NA,NA,NA,NA,NA
"C(C(CC(=O)O)N)C(=O)N","XOYSDPUJMJWCBH",280,1,1,1,"0.5465380295476204",-43.8227692883385,1,51.364095001923,"C5H10N2O3","[M + H]+","InChI=1S/C5H10N2O3/c6-3(1-4(7)8)2-5(9)10/h3H,1-2,6H2,(H2,7,8)(H,9,10)","3,5-diamino-5-oxopentanoic acid",-4.5999999,"2794222;4422389;49866669","PubChem:(2794222 4422389 49866669);YMDB Mine;PubChem class - bio and metabolites;EcoCyc Mine;PubMed;KEGG Mine",60146319426,147.076477050781,395.552514,"44_mapp_batch_00026_sirius_1049",1049,NA,NA,NA,NA,NA,NA,NA,NA
