"query","chebiid","chebiasciiname","searchscore","entitystar"
"CQOVPNPJLQNMDC","CHEBI:15727","carnosine","0.06","3"
"OAUYENAPBFTAQT","CHEBI:133185","N-(3-acetamidopropyl)pyrrolidin-2-one","0.07","3"
"JLFNLZLINWHATN","CHEBI:39631","pentaethylene glycol","0.09","3"
"RTNFBJXLYMERBB",NA,NA,NA,NA
"KLZGKIDSEJWEDW","CHEBI:17768","N-acetylputrescine","0.07","3"
"OVRNDRQMDRJTHS","CHEBI:21601","N-acetyl-D-hexosamine","0.05","3"
"CMUNUTVVOOHQPW","CHEBI:35280","L-proline betaine","0.06","3"
"AYFVYJQAPQTCCC","CHEBI:38263","2-amino-3-hydroxybutanoic acid","0.06","3"
"SXGGZTBEWZFLBZ",NA,NA,NA,NA
"QUOGESRFPZDMMT","CHEBI:27747","L-homoarginine","0.06","3"
"CVSVTCORWBXHQV","CHEBI:16919","creatine","0.06","3"
"AYNBBSMJRSAAHP",NA,NA,NA,NA
"XOAAWQZATWQOTB","CHEBI:15891","taurine","0.07","3"
"LJLLAWRMBZNPMO","CHEBI:16682","N-acetyl-beta-alanine","0.07","3"
"JJIHLJJYMXLCOY","CHEBI:45441","N-acetyl-L-serine","0.06","3"
"IEDCXEQAWYUWSL",NA,NA,NA,NA
"IBIDRSSEHFLGSD","CHEBI:73711","Val-Arg","0.06","3"
"CKTSBUTUHBMZGZ","CHEBI:15698","2'-deoxycytidine","0.06","3"
"NTYJJOPFIAHURM","CHEBI:18295","histamine","0.08","3"
"ODKSFYDXXFIFQN","CHEBI:29016","arginine","0.06","3"
"ZDGJAHTZVHVLOT","CHEBI:16927","L-saccharopine","0.05","3"
"YNAVUWVOSKDBBP","CHEBI:34856","morpholine","0.09","3"
"LUCHPKXVUGJYGU","CHEBI:47876","5-methyl-2'-deoxycytidine","0.06","3"
"OUYCCCASQSFEME","CHEBI:17895","L-tyrosine","0.06","3"
"UDOJNGPPRYJMKR",NA,NA,NA,NA
"SXGZJKUKBWWHRA","CHEBI:39005","2-(N-morpholino)ethanesulfonic acid","0.07","3"
"JBFYFLXEJFQWMU","CHEBI:73707","gamma-Glu-Gln","0.05","3"
"YHHSONZFOIEMCP","CHEBI:18132","phosphocholine","0.07","3"
"FSVCELGFZIQNCK","CHEBI:39066","[bis(2-hydroxyethyl)ammonio]acetate","0.06","3"
"HYAXMGTZOLISRL",NA,NA,NA,NA
"SNICXCGAKADSCV","CHEBI:17688","(S)-nicotine","0.07","3"
"IQOFRAPPCZMXCM",NA,NA,NA,NA
"UWHCKJMYHZGTIT","CHEBI:44920","tetraethylene glycol","0.09","3"
"BJELTSYBAHKXRW","CHEBI:191000","2,4,6-triallyloxy-1,3,5-triazine","0.06","2"
"GVNWZKBFMFUVNX","CHEBI:165524","Adipamide","0.05","2"
"WQXXXVRAFAKQJM","CHEBI:50621","gamma-glutamylalanine","0.06","3"
"SQGBZKZDUMBTIJ",NA,NA,NA,NA
"ZENDESMGBVKRRL","CHEBI:180508","S-vinylcysteine","0.05","2"
"XPJRQAIZZQMSCM","CHEBI:44748","heptaethylene glycol","0.09","3"
"ZSBXAULTZFUUMY",NA,NA,NA,NA
"OIVLITBTBDPEFK","CHEBI:15901","5,6-dihydrouracil","0.07","3"
"UYTPUPDQBNUYGX","CHEBI:16235","guanine","0.07","3"
"WCVPFJVXEXJFLB",NA,NA,NA,NA
"NXJAXUYOQLTISD","CHEBI:73040","O-glutarylcarnitine","0.06","3"
"KRNYOVHEKOBTEF","CHEBI:73704","Val-Val","0.05","3"
"OIRDTQYFTABQOQ","CHEBI:16335","adenosine","0.05","3"
"OEYIOHPDSNJKLS","CHEBI:15354","choline","0.08","3"
"MTCFGRXMJLQNBG","CHEBI:16523","D-serine","0.06","3"
"JISQVVRQGZOKPJ","CHEBI:59145","3-mesyloxymethyl-5,5-dimethylbutyrolactone","0.07","3"
"FBPFZTCFMRRESA","CHEBI:16813","galactitol","0.05","3"
"KYCJNIUHWNJNCT","CHEBI:173320","3-Amino-2-oxazolidone","0.06","2"
"DWAICOVNOFPYLS","CHEBI:53480","N-acetyl-D-galactosaminitol","0.05","3"
"XIMBESZRBTVIOD","CHEBI:176922","(S)-Piperidine-2-carboxamide","0.06","2"
"XXEWFEBMSGLYBY","CHEBI:43997","N(6),N(6)-dimethyl-L-lysine","0.06","3"
"ZNYRFEPBTVGZDN","CHEBI:189796","5S,6S-epoxy-15R-hydroxy-ETE","0.07","2"
"NQRYJNQNLNOLGT","CHEBI:18049","piperidine","0.09","3"
"AQRQHYITOOVBTO",NA,NA,NA,NA
"DFPAKSUCGFBDDF","CHEBI:17154","nicotinamide","0.07","3"
"WZZLDXDUQPOXNW","CHEBI:82033","propamocarb","0.07","3"
"UEFRDQSMQXDWTO","CHEBI:72995","3-hydroxybutyrylcarnitine","0.06","3"
"RWQNBRDOKXIBIV","CHEBI:17821","thymine","0.07","3"
"MSWZFWKMSRAUBD","CHEBI:28393","beta-D-glucosamine","0.05","3"
"RGKAWYALXRQNJW",NA,NA,NA,NA
"BLFRQYKZFKYQLO",NA,NA,NA,NA
"JZRWCGZRTZMZEH","CHEBI:18385","thiamine(1+)","0.06","3"
"GDFAOVXKHJXLEI","CHEBI:17519","N-methyl-L-alanine","0.06","3"
"UQWNNUPJBDWRHC",NA,NA,NA,NA
"RWSXRVCMGQZWBV","CHEBI:16856","glutathione","0.05","3"
"YGIAGXACEXFIDU","CHEBI:176478","N-Acetylisoputreanine","0.05","2"
"WQXNXVUDBPYKBA","CHEBI:27592","ectoine","0.06","3"
"RXOCMPDBRBLXGB",NA,NA,NA,NA
"HXEACLLIILLPRG","CHEBI:17964","pipecolic acid","0.06","3"
"VSBDIFBSDJMHCJ",NA,NA,NA,NA
"MRUAUOIMASANKQ",NA,NA,NA,NA
"WIPSIZKSUXRXHP",NA,NA,NA,NA
"VZSTVUJXUYNIOQ","CHEBI:27578","alpha-amino-gamma-cyanobutanoic acid","0.07","3"
"OTPLYCUEVGZTQD",NA,NA,NA,NA
"VEYYWZRYIYDQJM","CHEBI:35704","N(2)-acetyl-L-lysine","0.06","3"
"VLJNHYLEOZPXFW","CHEBI:21374","L-prolinamide","0.07","3"
"WXCQAWGXWVRCGP","CHEBI:16822","choline sulfate","0.07","3"
"ZOPACRMLVDFSGJ","CHEBI:80848","Anthopleurine","0.05","2"
"ZHMKNBFQCHDNKP",NA,NA,NA,NA
"VYAMLSCELQQRAE","CHEBI:155838","glycylsarcosine zwitterion","0.07","3"
"KIUSNPVZHFRLAJ",NA,NA,NA,NA
"LRSASMSXMSNRBT","CHEBI:27551","5-methylcytosine","0.07","3"
"IBMXIRMZAXDICC","CHEBI:187196","20Z-heptacosenoic acid","0.06","2"
"KYEACNNYFNZCST",NA,NA,NA,NA
"RTRQQBHATOEIAF","CHEBI:28498","acadesine","0.05","3"
"HNJBEVLQSNELDL","CHEBI:36592","pyrrolidin-2-one","0.08","3"
"ILDSIMPXNFWKLH","CHEBI:73575","Leu-Thr-Ser","0.06","3"
"JXLKQDFJNOXCNT",NA,NA,NA,NA
"FEMXZDUTFRTWPE","CHEBI:15375","D-erythro-7,8-dihydrobiopterin","0.06","3"
"HERSSAVMHCMYSQ","CHEBI:16968","1,8-diazacyclotetradecane-2,9-dione","0.07","3"
"BBIXOODYWPFNDT","CHEBI:74076","Ile-Pro","0.06","3"
"LRFVTYWOQMYALW","CHEBI:17712","9H-xanthine","0.07","3"
"YACLTUWSWMFZMM",NA,NA,NA,NA
"QRXUKURKZNOVAF",NA,NA,NA,NA
"PGNNMVAZUOZRSM",NA,NA,NA,NA
"JJPMVRHZSQGALO",NA,NA,NA,NA
"XOYSDPUJMJWCBH",NA,NA,NA,NA
"FDGQSTZJBFJUBT","CHEBI:17368","hypoxanthine","0.07","3"
"MUNWAHDYFVYIKH","CHEBI:85533","trans-4-hydroxy-L-proline betaine","0.06","3"
"ZOOAIEZLCAMZFL",NA,NA,NA,NA
"ILJOYLTXYCZXTB","CHEBI:191161","Pyroglu-tyr","0.05","2"
"WSVFRGGLURJIMG",NA,NA,NA,NA
"OLQFKFSAJNUOPT",NA,NA,NA,NA
"GHKBOCAECRMABJ",NA,NA,NA,NA
"UXFQFBNBSPQBJW","CHEBI:991","2-amino-2-methylpropane-1,3-diol","0.08","3"
"NJRFAMBTWHGSDE",NA,NA,NA,NA
"UEEJHVSXFDXPFK","CHEBI:271436","N,N-dimethylethanolamine","0.08","3"
"JHWNWJKBPDFINM","CHEBI:172332","Laurolactam","0.06","2"
"OEBXWWBYZJNKRK",NA,NA,NA,NA
"YDGMGEXADBMOMJ","CHEBI:17929","N(omega),N(omega)-dimethyl-L-arginine","0.06","3"
"NYHBQMYGNKIUIF","CHEBI:16750","guanosine","0.05","3"
"SLNYBUIEAMRFSZ",NA,NA,NA,NA
"MXZRHPHRSQJCML",NA,NA,NA,NA
"GFFGJBXGBJISGV","CHEBI:16708","adenine","0.07","3"
"FTAHXMZRJCZXDL","CHEBI:47860","3-piperideine","0.09","3"
"VNLFZVJYRYRAIX",NA,NA,NA,NA
"SQVRNKJHWKZAKO","CHEBI:17012","N-acetylneuraminic acid","0.05","3"
"KMZHZAAOEWVPSE","CHEBI:173558","(R)-glycerol 1-acetate","0.06","2"
"GYTIWWDVOFXKPF",NA,NA,NA,NA
"SRXKAYJJGAAOBP","CHEBI:133179","N(5)-acetylornithine","0.06","3"
"ZFQYTSCUGODUDB",NA,NA,NA,NA
"VQAYFKKCNSOZKM","CHEBI:21891","N(6)-methyladenosine","0.05","3"
"KXLLKSHFFVQKTQ",NA,NA,NA,NA
"RANSNKOSWWZYEJ",NA,NA,NA,NA
"WVPGIDWFLXGCLA",NA,NA,NA,NA
"GVUVRRPYYDHHGK","CHEBI:141395","Pro-Thr","0.06","3"
"XQQZRZQVBFHBHL","CHEBI:32399","12-crown-4","0.09","3"
"XTJFFFGAUHQWII","CHEBI:34686","Dibutyl adipate","0.06","2"
"BYBGSCXPMGPLFP",NA,NA,NA,NA
"WWNNZCOKKKDOPX","CHEBI:18123","N-methylnicotinate","0.07","3"
"XSRKHYQASYXTMX",NA,NA,NA,NA
"MGUMDFGKOQUYTD",NA,NA,NA,NA
"KGFONVRFEGFSNG",NA,NA,NA,NA
"QSELDKYOARDOCZ",NA,NA,NA,NA
"ICWOFXKZEXYLQJ",NA,NA,NA,NA
"YAXKICQBFWUCLI",NA,NA,NA,NA
"BUSBCPMSNBMUMT",NA,NA,NA,NA
"XKQMKMVTDKYWOX",NA,NA,NA,NA
"OTWJRAWXTDGSDT",NA,NA,NA,NA
"MCYUUUTUAAGOOT","CHEBI:166514","Desethylchloroquine","0.05","2"
"CPEULHAPWXMDDV",NA,NA,NA,NA
"OMFMCIVBKCEMAK","CHEBI:73375","Ala-Leu-Val-Ser","0.05","3"
"JIQBWPFLOVGXMI",NA,NA,NA,NA
"PQNASZJZHFPQLE","CHEBI:17604","N(6)-methyl-L-lysine","0.06","3"
"FYTLHYRDGXRYEY","CHEBI:189303","5-Methyl-3-pyrazolamine","0.06","2"
"MIJDSYMOBYNHOT",NA,NA,NA,NA
"RDIKFPRVLJLMER","CHEBI:73770","Ala-Leu","0.06","3"
"VZXTWGWHSMCWGA","CHEBI:38071","1,3,5-triazine-2,4-diamine","0.07","3"
"MRGPKZIDNGFPIU",NA,NA,NA,NA
"UKPGFKQVRITNFM",NA,NA,NA,NA
"YKBGVTZYEHREMT","CHEBI:17172","2'-deoxyguanosine","0.06","3"
"QXZFAILDNWQRAW","CHEBI:125228","N'-[[4-(2-hydroxyethoxy)phenyl]methylideneamino]-N-(2-hydroxyphenyl)octanediamide","0.05","2"
"LSBDFXRDZJMBSC","CHEBI:16562","2-phenylacetamide","0.07","3"
"XYDQDGJOQQAPIM",NA,NA,NA,NA
"NAFDCRMGWKHMJQ",NA,NA,NA,NA
"ZUNBITIXDCPNSD","CHEBI:15625","S-adenosylmethioninamine","0.05","3"
"FJQRSEXWVWHZQL",NA,NA,NA,NA
"WWCHNEZLPVURTG",NA,NA,NA,NA
"KQTVZNUGNXDNEM",NA,NA,NA,NA
"BTCSSZJGUNDROE","CHEBI:16865","gamma-aminobutyric acid","0.07","3"
"KNMBQWZVFYSZCC",NA,NA,NA,NA
"LLWDZKXTXQFQKQ",NA,NA,NA,NA
"NKSUUASSPYXISP",NA,NA,NA,NA
"PELSWHVWRSALSX",NA,NA,NA,NA
"TYPRWJJYCBNAQC","CHEBI:17508","7,8-dihydroxykynurenic acid","0.06","3"
"GIAZPLMMQOERPN","CHEBI:73701","Val-Pro","0.06","3"
"WXUICIMSUQBFMI","CHEBI:37816","cyclononyne","0.09","3"
"PZYZDSMNHHDRHM",NA,NA,NA,NA
"AWWYKNKJDZMBFP",NA,NA,NA,NA
"OTQNZVVDFWNHDO",NA,NA,NA,NA
"NKXGAOCVXRXULI",NA,NA,NA,NA
"ITZPOSYADVYECJ",NA,NA,NA,NA
"KQVLODRFGIKJHZ","CHEBI:10790","methylenediurea","0.07","3"
"YBJCDTIWNDBNTM",NA,NA,NA,NA
"GWFZPCFEIOINER",NA,NA,NA,NA
"OIPILFWXSMYKGL","CHEBI:15355","acetylcholine","0.07","3"
"OISVCGZHLKNMSJ","CHEBI:32548","2,6-dimethylpyridine","0.08","3"
"CTQNGGLPUBDAKN","CHEBI:28063","o-xylene","0.08","3"
"VBWBRZHAGLZNST",NA,NA,NA,NA
"HZXKIWTUQWWSDX",NA,NA,NA,NA
"CRVGTESFCCXCTH",NA,NA,NA,NA
"ICZVBOAABXHPSZ",NA,NA,NA,NA
"ZXLOXFMPVIZJFC",NA,NA,NA,NA
"PZUIBDYCBSUCSU",NA,NA,NA,NA
"JNTDLWHHJMGLGD",NA,NA,NA,NA
"KSPIYJQBLVDRRI","CHEBI:64350","N-methylisoleucine","0.07","3"
"VAWJDJJVJBQDHP",NA,NA,NA,NA
"YHXKVHQFWVYXIC","CHEBI:132572","(S)-nicotine 1-N-oxide","0.07","3"
"CCAIIPMIAFGKSI",NA,NA,NA,NA
"QDHYJVJAGQLHBA","CHEBI:73834","beta-Ala-Gly","0.07","3"
"QGKLPGKXAVVPOJ",NA,NA,NA,NA
"IYJMQRLCWBFHJL",NA,NA,NA,NA
"GIWQSPITLQVMSG","CHEBI:190967","1,2-dimethylimidazole","0.07","2"
"PLZBACFKLVUOIS","CHEBI:131835","5',6'-diamino-1,3'-bis(2-deoxy-beta-D-erythro-pentofuranosyl)-4',5'-dihydro[4,4'-bipyrimidine]-2,2'(1H,3'H)-dione","0.05","3"
"MSCKBPFYHWSPQR",NA,NA,NA,NA
"NDSYZZUVPRGESW",NA,NA,NA,NA
"ZKJQHGCVBWLPKD",NA,NA,NA,NA
"NRXIKWMTVXPVEF","CHEBI:7274","N-formimidoyl-L-glutamic acid","0.06","3"
"NOZUFNYPCCFIKF",NA,NA,NA,NA
"CZWARROQQFCFJB","CHEBI:165867","L-2-Amino-5-hydroxypentanoic acid","0.05","2"
"HZDLDFBKYBGNHG","CHEBI:82359","3-(N-Nitrosomethylamino)propionitrile","0.06","2"
"ARZJNXWLGYSROV",NA,NA,NA,NA
"LQFKABMWUHITQU",NA,NA,NA,NA
"BFCPRIFFJUHFAD",NA,NA,NA,NA
"NGMQJZCKXKTQID","CHEBI:181691","(5e)-10-Heptyl-3,4,5,8,9,10-hexahydro-5,8,9-trihydroxy-2h-oxecin-2-one","0.05","2"
"WEKZOSZDHREWIU",NA,NA,NA,NA
"DQUHYEDEGRNAFO",NA,NA,NA,NA
"KUMYSKHGAQHCMQ",NA,NA,NA,NA
"RMOPCJOZHHOQFT",NA,NA,NA,NA
"GMNNKQXZGNHZSN",NA,NA,NA,NA
"ABDMBNAKYBUEEX",NA,NA,NA,NA
"MSXMXWJPFIDEMT","CHEBI:27405","streptidine","0.05","3"
"RLGHWFQLNMTSKO",NA,NA,NA,NA
"JPNOKZQZVLXQNC","CHEBI:73062","O-[(9Z)-3-hydroxytetradec-9-enoyl]carnitine","0.06","3"
"OJCFEGKCRWEVSN",NA,NA,NA,NA
"QSZKSGSXMHZCEF",NA,NA,NA,NA
"QIGBRXMKCJKVMJ","CHEBI:17594","hydroquinone","0.08","3"
"JLQSXXWTCJPCBC","CHEBI:27410","N-methyl-6-pyridone-3-carboxamide","0.07","3"
"UGXJJPLCCKEJFZ",NA,NA,NA,NA
"CAWHJQAVHZEVTJ","CHEBI:89015","methylpyrazine","0.09","3"
"LTLYEAJONXGNFG","CHEBI:30270","E64","0.05","3"
"VCOFTLCIPLEZKE","CHEBI:16671","4-guanidinobutanal","0.07","3"
"RXHVPPWXTMHWGY","CHEBI:145241","4-aminovaleric acid betaine","0.05","2"
"CPALRJNELRTQTO",NA,NA,NA,NA
"BHBZNQCZKUGKCJ","CHEBI:68002","(+)-dihydropinidine","0.06","2"
"XDKYTXBAVJELDQ","CHEBI:74761","2-methylhistamine","0.07","3"
"BRNULMACUQOKMR","CHEBI:36392","thiomorpholine","0.09","3"
"QMNDAUGCAGNHLO",NA,NA,NA,NA
"HUTNOYOBQPAKIA",NA,NA,NA,NA
"GHVMTHKJUAOZJP","CHEBI:143102","GI254023X","0.06","3"
"ADSALMJPJUKESW","CHEBI:166840","beta-Homoproline","0.05","2"
"DGMOQCHIPOPXEK","CHEBI:179478","Spermic acid 2","0.05","2"
"LVIWUACEPGXDSG",NA,NA,NA,NA
"LPAGFVYQRIESJQ","CHEBI:43295","indoline","0.08","3"
"BBDKZWKEPDTENS","CHEBI:82377","4-Vinylcyclohexene","0.07","2"
"LBVPDFGFLMFDPI",NA,NA,NA,NA
"DGMPVYSXXIOGJY","CHEBI:5199","Fusaric acid","0.05","2"
"LJPZHJUSICYOIX","CHEBI:46751","quinolizidine","0.08","3"
"XSZKVKMGSAAAJZ",NA,NA,NA,NA
"YNDAMDVOGKACTP",NA,NA,NA,NA
"XWJNJOKCOYEQEH",NA,NA,NA,NA
"UURSKAGLHMBPNT",NA,NA,NA,NA
"YPMYDSHISNOZST",NA,NA,NA,NA
"JWBMVCAZXJMSOX",NA,NA,NA,NA
"DFVFTMTWCUHJBL",NA,NA,NA,NA
"LCOLJZRCXVDSFQ",NA,NA,NA,NA
"MXBLBDHOSUWYDH",NA,NA,NA,NA
"FCSVBIFJBYWEQD","CHEBI:66717","Paecilopeptin","0.04","2"
"WDSCBUNMANHPFH","CHEBI:134808","acexamic acid","0.05","2"
"PVGVBCHULKKBFQ",NA,NA,NA,NA
"BZRGONFHSWNSQA",NA,NA,NA,NA
"BRMWTNUJHUMWMS","CHEBI:50599","N(tele)-methyl-L-histidine","0.06","3"
"KLJIJKWCFFYTNF",NA,NA,NA,NA
"VMKPDXOZTSISIW","CHEBI:190963","2-aminobenzenecarbohydroxamic acid","0.06","2"
"ROVDTLLPFWAZJC","CHEBI:173686","Medicanine","0.05","2"
"NUZXPHIQZUYMOR",NA,NA,NA,NA
"KJONRYZJTCYQHI",NA,NA,NA,NA
"QWBBPBRQALCEIZ",NA,NA,NA,NA
"RJUFJBKOKNCXHH","CHEBI:89873","Methyl propionate","0.06","2"
"FQUVAASUKJSNRV",NA,NA,NA,NA
"FIOOXZOSOOFWSQ",NA,NA,NA,NA
"PJXDGFJDVVVXCY",NA,NA,NA,NA
"OYVDXEVJHXWJAE",NA,NA,NA,NA
"SWKPGMVENNYLFK",NA,NA,NA,NA
"FCHCCQQVUZBSIR",NA,NA,NA,NA
"LAXPXFNVDQZXJE",NA,NA,NA,NA
"UBPGILLNMDGSDS","CHEBI:87344","diethylene glycol diacetate","0.07","3"
"QTFNVBVRYJMVKS",NA,NA,NA,NA
"CCXTXXIACARUTI",NA,NA,NA,NA
"YVNOSMHDDYFOEO","CHEBI:188641","(3S)-3-{[(3S)-3-Aminobutanoyl]amino}-5-methylhexanoic acid","0.05","2"
"MJZMSEWWBGCBFM",NA,NA,NA,NA
"FYMDORPYGXGRNV",NA,NA,NA,NA
"KDIFLHQRDPSWHT","CHEBI:78812","ascr#2","0.06","3"
"XBFLRTYNHZZFRG","CHEBI:127983","N-[(3S,9R,10R)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl-(phenylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-2-phenylacetamide","0.04","2"
"OVRFOVZVAWIPDE",NA,NA,NA,NA
"CRARAYMTTYFRJE",NA,NA,NA,NA
"JRLPEMVDPFPYPJ",NA,NA,NA,NA
"JNYAEWCLZODPBN",NA,NA,NA,NA
"IJESKJBEGUUTIB",NA,NA,NA,NA
"GPRXBRDKYYXGEU",NA,NA,NA,NA
"HULUUXWHOPMUOO",NA,NA,NA,NA
"RCFRTWDBBMGLGK",NA,NA,NA,NA
"DQTQYVYXIOQYGN",NA,NA,NA,NA
"DNJFTXKSFAMXQF","CHEBI:2813","Arecaidine","0.05","2"
"ZRJHLGYVUCPZNH","CHEBI:15786","3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine","0.06","3"
"UTBIMNXEDGNJFE",NA,NA,NA,NA
"WPKSHDLVXHJHKV",NA,NA,NA,NA
"XPIVOYOQXKNYHA",NA,NA,NA,NA
"HGWUUOXXAIISDB",NA,NA,NA,NA
"GFNDFCFPJQPVQL",NA,NA,NA,NA
"CTNHKDHQKRJTIU",NA,NA,NA,NA
"SLFZPSKIMUPQSR",NA,NA,NA,NA
"UQHCHLWYGMSPJC",NA,NA,NA,NA
"YHVFECVVGNXFKO","CHEBI:18062","4-guanidinobutanamide","0.07","3"
"NFWKZYBIWDXGQR",NA,NA,NA,NA
"CWLQUGTUXBXTLF","CHEBI:90344","N-methylproline","0.07","3"
"SLEHROROQDYRAW","CHEBI:19702","N(2)-methylguanosine","0.06","3"
"CTHCTLCNUREAJV",NA,NA,NA,NA
"VRWLRMTUPOYQFV",NA,NA,NA,NA
"DCPBQSFZQHFSMR","CHEBI:59962","argpyrimidine","0.06","3"
"WDQFELCEOPFLCZ",NA,NA,NA,NA
"RTCYUGLJCAPLPD",NA,NA,NA,NA
"BIHLHMHULOMJLI",NA,NA,NA,NA
"KKJQZEWNZXRJFG","CHEBI:173341","L-trans-4-Methyl-2-pyrrolidinecarboxylic acid","0.05","2"
"KJHOZAZQWVKILO","CHEBI:94665","N-(diaminomethylidene)-4-morpholinecarboximidamide","0.05","2"
"SAPHQZKXKAKBRV",NA,NA,NA,NA
"KPIVDNYJNOPGBE","CHEBI:68572","2-aminonicotinic acid","0.07","3"
"NITKDGDSVDJQFD",NA,NA,NA,NA
"JTATVNVLVDZAGB",NA,NA,NA,NA
"AASQAKHOJXFRMC",NA,NA,NA,NA
"ISMYCKWHOZKHNJ",NA,NA,NA,NA
"SHVVSKCXWMEDRW",NA,NA,NA,NA
"CEQXFBGTZBZJQF",NA,NA,NA,NA
"ZMXHNPBUQVXPDM",NA,NA,NA,NA
"JDMCEGLQFSOMQH","CHEBI:170072","2-(Acetylamino)hexanoic acid","0.05","2"
"SSBQRKUTFSLSCP",NA,NA,NA,NA
"WNHPMKYMPWMAIT",NA,NA,NA,NA
"KWIUHFFTVRNATP","CHEBI:17750","glycine betaine","0.07","3"
"WCYGORCMAJDYJN",NA,NA,NA,NA
"OOBNDBQPMFZTTD",NA,NA,NA,NA
"JAUQZVBVVJJRKM",NA,NA,NA,NA
"STQMDRQJSNKUAW",NA,NA,NA,NA
"FZWGECJQACGGTI","CHEBI:28664","2-amino-7-methyl-1,7-dihydro-6H-purin-6-one","0.06","3"
"XRDKWFXOXXUQJS",NA,NA,NA,NA
"SHZGCJCMOBCMKK","CHEBI:2179","D-fucopyranose","0.05","3"
"NNOYMOQFZUUTHQ",NA,NA,NA,NA
"CJJRQVQPXAFTFW",NA,NA,NA,NA
"RCJIVJMTTMAMME",NA,NA,NA,NA
"GTAKOUPXIUWZIA",NA,NA,NA,NA
"DDGBWYKIAUAJAT",NA,NA,NA,NA
