	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
22	7891	-1							1.0	0.40410006	ISDB	FNVQVQLJUASNQK-QTDSDZRTSA-N	InChI=1S/C29H44O6/c1-14(16(3)27(34)35)7-8-15(2)18-9-10-19-23-22(31)13-20-17(4)21(30)11-12-28(20,5)24(23)25(32)26(33)29(18,19)6/h15-22,26,30-31,33H,1,7-13H2,2-6H3,(H,34,35)/t15-,16?,17+,18-,19+,20+,21-,22+,26+,28+,29-/m1/s1	C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)[C@@H](C)[C@@H]1C[C@@H]3O)C(C)C(=O)O	C29H44O6		488.313789128	FNVQVQLJUASNQK	Terpenoids	Steroids	Ergostane steroids	Taiwanofungus camphoratus	252428.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Taiwanofungus']	['Taiwanofungus camphoratus']		['Eukaryota']									1	0	1.4041000604629517	1
23	7887	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	6.0	0.0	MS1_match	IGGLXFFDERYJLU-DGUDBNDOSA-N	InChI=1S/C9H16O/c1-5-7(2)6-8(3)9(4)10/h6-7H,5H2,1-4H3/b8-6+/t7-/m0/s1	CC[C@H](C)/C=C(\C)C(C)=O	C9H16O	pos_2MHNH3	140.120115132	IGGLXFFDERYJLU	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Manica rubida	691933.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Myrmicini']	['Manica']	['Manica rubida']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.0	1
24	7887	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	6.0	0.0	MS1_match	MVLRILUUXLBENA-UHFFFAOYSA-N	InChI=1S/C8H16O/c1-4-6-7(3)8(9)5-2/h7H,4-6H2,1-3H3	CCCC(C)C(=O)CC	C8H16O	pos_2MHCH3CN	128.120115132	MVLRILUUXLBENA	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Pogonomyrmex rugosus	1042743.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Pogonomyrmecini']	['Pogonomyrmex']	['Pogonomyrmex rugosus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.0	1
29	7877	-1							1.0	0.35535255	ISDB	VKFZVQCKAPPEFZ-RXCFHPIVSA-N	InChI=1S/C22H41NO7/c1-3-4-5-10-13-17(25)14-11-8-6-7-9-12-15-18(26)20(27)21(28)19(22(29)30)23-16(2)24/h12,15,17-21,25-28H,3-11,13-14H2,1-2H3,(H,23,24)(H,29,30)/b15-12+/t17-,18+,19+,20-,21-/m1/s1	CCCCCC[C@@H](O)CCCCCC/C=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](N=C(C)O)C(=O)O	C22H41NO7		431.288302652	VKFZVQCKAPPEFZ	Fatty acids	Fatty acyls|Sphingolipids	Fatty alcohols|Sphingoid bases	Aspergillus fumigatus	278828.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus fumigatus']		['Eukaryota']									1	0	1.3553525507450104	1
30	7861	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.94510335	ISDB	FIXZYWKWWCBXRZ-GJZGRUSLSA-N	InChI=1S/C15H31N/c1-3-5-7-8-9-11-15-13-12-14(16-15)10-6-4-2/h14-16H,3-13H2,1-2H3/t14-,15-/m0/s1	CCCCCCC[C@H]1CC[C@H](CCCC)N1	C15H31N		225.245649992	FIXZYWKWWCBXRZ	Alkaloids	Lysine alkaloids	Piperidine alkaloids	Megalomyrmex foreli	3257394.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Megalomyrmex']	['Megalomyrmex foreli']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.945103347301483	1
31	7698	-1							1.0	0.31484702	ISDB							KYHQWBWWLKVMNE						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.31484702229499817	1
32	7659	8	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.1595744680851064	Small peptides	0.1702127659574468	Aminoacids	0.11702127659574468	1.0	0.59247494	ISDB	VEYJKJORLPYVLO-RYUDHWBXSA-N	InChI=1S/C14H20N2O4/c1-8(2)12(15)13(18)16-11(14(19)20)7-9-3-5-10(17)6-4-9/h3-6,8,11-12,17H,7,15H2,1-2H3,(H,16,18)(H,19,20)/t11-,12-/m0/s1	CC(C)[C@H](N)C(O)=N[C@@H](Cc1ccc(O)cc1)C(=O)O	C14H20N2O4		280.14230712	VEYJKJORLPYVLO	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids|Dipeptides	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	2	3.592474937438965	1
33	7649	-1							56.0	0.6984722	ISDB	ZRVDANDJSTYELM-FXAWDEMLSA-N	InChI=1S/C20H30O/c1-13(2)18-14-7-10-17-19(3,4)11-6-12-20(17,5)15(14)8-9-16(18)21/h8-9,13,17,21H,6-7,10-12H2,1-5H3/t17-,20+/m0/s1	CC(C)c1c(O)ccc2c1CC[C@H]1C(C)(C)CCC[C@]21C	C20H30O		286.22966558	ZRVDANDJSTYELM	Terpenoids	Diterpenoids	Totarane diterpenoids	Apis mellifera	461645.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis mellifera']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	0	5.698472201824188	1
34	7592	8	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.1595744680851064	Small peptides	0.1702127659574468	Aminoacids	0.11702127659574468	1.0	0.5569295	ISDB	XGDCYUQSFDQISZ-BQBZGAKWSA-N	InChI=1S/C9H18N2O4/c1-5(2)3-6(10)8(13)11-7(4-12)9(14)15/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)/t6-,7-/m0/s1	CC(C)C[C@H](N)C(O)=N[C@@H](CO)C(=O)O	C9H18N2O4		218.126657056	XGDCYUQSFDQISZ	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	3	4.556929528713226	1
35	7522	-1							1.0	0.4203548	ISDB							NKOGSTZZRVADJV						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.42035481333732605	1
36	7516	-1							2.0	0.41327614	ISDB	YXXHYKUZOXXRTH-GUAMEHLRSA-N	InChI=1S/C29H44O3/c1-7-21(19(2)3)9-8-20(4)23-10-11-24-26(23,5)14-13-25-27(6)15-12-22(30)18-28(27)16-17-29(24,25)32-31-28/h8-9,13,16-17,19-24,30H,7,10-12,14-15,18H2,1-6H3/b9-8+/t20-,21+,22+,23-,24-,26-,27-,28-,29+/m1/s1	CC[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@]34C=C[C@]5(C[C@@H](O)CC[C@]5(C)C3=CC[C@]12C)OO4)C(C)C	C29H44O3		440.329045268	YXXHYKUZOXXRTH	Terpenoids	Steroids	Stigmastane steroids	Metridium senile	558017.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Actiniaria']	['Metridiidae']	['Unknown']	['Metridium']	['Metridium dianthus']		['Eukaryota']	['Metazoa']								2	0	2.4132761359214783	1
37	7500	-1							1.0	0.53027254	ISDB							ZFVBYMAGXUGIGL						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.5302725434303284	1
39	7356	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.34837672	ISDB							SAHCQBPGXQFTRA						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.34837672114372253	1
41	7321	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.0	MS1_match	NZHKUCFYLBRISS-UHFFFAOYSA-N	InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-19-17-18/h17H,2-16H2,1H3	CCCCCCCCCCCCCCCCOC=O	C17H34O2	pos_1_1proton1acetonitrile	270.255880328	NZHKUCFYLBRISS	Fatty acids	Fatty esters	Wax monoesters	Camponotus vagus	507118.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']	['Camponotus vagus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']		8	1	9.0	1
47	7283	-1							1.0	0.43903065	ISDB	APLLVFVOTXZBFO-RUJICJSRSA-N	InChI=1S/C13H23NO3/c1-8(2)4-13(16)17-10-5-9-6-12(15)11(7-10)14(9)3/h8-12,15H,4-7H2,1-3H3/t9?,10-,11?,12-/m1/s1	CC(C)CC(=O)O[C@@H]1CC2C[C@@H](O)C(C1)N2C	C13H23NO3		241.167793596	APLLVFVOTXZBFO	Alkaloids	Ornithine alkaloids	Tropane alkaloids	Erythroxylum zambesiacum	6100415.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	['Unknown']	['Erythroxylum']	['Erythroxylum zambesiacum']		['Eukaryota']									1	0	1.439030647277832	1
50	7272	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.61187005	ISDB	SYBPSIUVPQXFOU-UHFFFAOYSA-N	InChI=1S/C14H29N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h5-6H,2-4,7-15H2,1H3	CCCCC=CCCCCCCCCN	C14H29N		211.229999928	SYBPSIUVPQXFOU	Fatty acids	Fatty acyls	Hydrocarbons	Monomorium floricola	960441.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Monomorium']	['Monomorium floricola']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.611870050430298	1
55	7236	-1							117.0	0.48492956	ISDB	KBCTVJCCTZLLJM-QRGFZFLCSA-N	InChI=1S/C20H28O4/c1-13-10-17(21)20-15(12-24-18(20)22)4-3-5-16(20)19(13,2)8-6-14-7-9-23-11-14/h4,7,9,11,13,16-18,21-22H,3,5-6,8,10,12H2,1-2H3/t13-,16+,17+,18?,19-,20-/m0/s1	C[C@H]1C[C@@H](O)[C@]23C(=CCC[C@@H]2[C@@]1(C)CCc1ccoc1)COC3O	C20H28O4		332.198759376	KBCTVJCCTZLLJM	Terpenoids	Diterpenoids	Colensane and Clerodane diterpenoids	Polypogon	341578.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Erebidae']	['Unknown']	['Polypogon']	['Unknown']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	4.48492956161499	1
56	7233	218	Fatty acids	0.3333333333333333	Fatty esters	0.3333333333333333	Wax monoesters	0.3333333333333333	1.0	0.0	MS1_match	LSTDYDRCKUBPDI-UHFFFAOYSA-N	InChI=1S/C18H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h3-17H2,1-2H3	CCCCCCCCCCCCCCCCOC(C)=O	C18H36O2	pos_1_1proton1acetonitrile	284.271530392	LSTDYDRCKUBPDI	Fatty acids	Fatty esters	Wax monoesters	Camponotus vagus	507118.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']	['Camponotus vagus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']		8	3	11.0	1
58	7214	-1							1.0	0.6217331	ISDB							UEJKTNXAIXCFSD						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.6217331290245056	1
59	7207	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.91349256	ISDB							HMZPJDXFNDOMLS						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9134925603866577	1
60	7205	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	2.0	0.0	MS1_match	LSTDYDRCKUBPDI-UHFFFAOYSA-N	InChI=1S/C18H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h3-17H2,1-2H3	CCCCCCCCCCCCCCCCOC(C)=O	C18H36O2	pos_1_1proton1ammonium	284.271530392	LSTDYDRCKUBPDI	Fatty acids	Fatty esters	Wax monoesters	Camponotus vagus	507118.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']	['Camponotus vagus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']		8	1	9.0	1
61	7204	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	2.0	0.3377304	ISDB	POUWXWGBWYDTMW-UHFFFAOYSA-N	InChI=1S/C20H41NO2/c1-17(22)13-11-9-7-5-3-4-6-8-10-12-14-19-15-16-20(23)18(2)21-19/h17-23H,3-16H2,1-2H3	CC(O)CCCCCCCCCCCCC1CCC(O)C(C)N1	C20H41NO2		327.313729552	POUWXWGBWYDTMW	Alkaloids	Lysine alkaloids	Piperidine alkaloids	Cassia leptophylla	3916836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Unknown']	['Cassia']	['Cassia leptophylla']		['Eukaryota']									1	3	4.337730407714844	1
63	7200	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.0	MS1_match	XJLDYKIEURAVBW-UHFFFAOYSA-N	InChI=1S/C10H20O/c1-3-5-6-7-8-9-10(11)4-2/h3-9H2,1-2H3	CCCCCCCC(=O)CC	C10H20O	pos_2MHNH3	156.15141526	XJLDYKIEURAVBW	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Oecophylla smaragdina	1083670.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Oecophyllini']	['Oecophylla']	['Oecophylla smaragdina']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.0	1
64	7197	58	Polyketides	0.14285714285714285	Cyclic polyketides	0.14285714285714285	2-pyrone derivatives	0.14285714285714285	1.0	0.0	MS1_match	GVUAFSNSBZBVES-UHFFFAOYSA-N	InChI=1S/C10H12O2/c1-2-3-4-6-9-7-5-8-10(11)12-9/h4-8H,2-3H2,1H3	CCCC=Cc1cccc(=O)o1	C10H12O2	pos_1_1proton2acetonitrile	164.083729624	GVUAFSNSBZBVES	Polyketides	Cyclic polyketides	2-pyrone derivatives	Solenopsis invicta	489862.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Solenopsis']	['Solenopsis invicta']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.0	1
65	7196	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.6733088	ISDB	HATWCTHYSHFBSB-UHFFFAOYSA-N	InChI=1S/C21H41NO3/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-19(2)21(24)22-20(17-23)18-25-3/h16,20,23H,4-15,17-18H2,1-3H3,(H,22,24)	CCCCCCCCCCCCCC=C(C)C(O)=NC(CO)COC	C21H41NO3		355.308644172	HATWCTHYSHFBSB	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids	Okeania	5361158.0	['Bacteria']	['Unknown']	['Cyanobacteria']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Oscillatoria']	['Unknown']											0	1	1.673308789730072	1
66	7187	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.90618396	ISDB							XZDIBYJDQWJMMS						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9061839580535889	1
