rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	1	0.9947296879535688	-32.15174621820329	0.9999999999999999	49.447220288834416	C23H34N4O4	[M + H]+	CCZXBOFIBYQLEV	InChI=1S/C23H34N4O4/c1-13(2)9-19(22(29)27-20(23(30)31)10-14(3)4)26-21(28)17(24)11-15-12-25-18-8-6-5-7-16(15)18/h5-8,12-14,17,19-20,25H,9-11,24H2,1-4H3,(H,26,28)(H,27,29)(H,30,31)	2-[[2-[[2-amino-3-(1H-indol-3-yl)propanoyl]amino]-4-methylpentanoyl]amino]-4-methylpentanoic acid	CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N	2.45267701	18231664;118796905	PubChem:(18231664 118796905);CHEBI:(91269)	34	431.26536560058594	120.947	2082_mapp_batch_00010_sirius_346
12	1	1	1	0.9945083672144988	-44.478705691687196	0.9999999999999999	40.79268478568149	C15H22N4O3	[M + H]+	YQDHCCVUYCIGSW	InChI=1S/C15H22N4O3/c1-2-22-14(21)12(9-6-10-18-15(16)17)19-13(20)11-7-4-3-5-8-11/h3-5,7-8,12H,2,6,9-10H2,1H3,(H,19,20)(H4,16,17,18)	AmbotzBAA0030	CCOC(=O)C(CCCN=C(N)N)NC(=O)C1=CC=CC=C1	0.699999988	123880;417068;439543;3577024;6991969;6992121	NORMAN:(NS00016534);COCONUT:(CNP0351354);PubChem:(123880 417068 439543 3577024 6991969 6992121);SuperNatural:(SN00213060);CHEBI:(3251);ZINC bio:(ZINC01529252 ZINC01540610);MeSH:(123880);KEGG:(C01670);Training Set;PubMed	3432806	307.17645263671875	61.719	1078_mapp_batch_00010_sirius_659
13	1	1	1	0.9944028536075789	-78.30747745738464	0.9999999999999999	46.461039293290625	C23H38N2O4	[M + H]+	FEFAAEYMDHYUFL	InChI=1S/C23H38N2O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(27)25-20(23(28)29)18-19-21(24)26/h3-4,6-7,9-10,20H,2,5,8,11-19H2,1H3,(H2,24,26)(H,25,27)(H,28,29)	N-linolenoyl-glutamine	CCC=CCC=CCC=CCCCCCCCC(=O)NC(CCC(=O)N)C(=O)O	4.5	394187;5928780;5470079;20832333;53794611;53794612;88219566;129664331	COCONUT:(CNP0248900);Natural Products:(UNPD92617);PubChem:(394187 5928780 5470079 20832333 53794611 53794612 88219566 129664331);SuperNatural:(SN00291696);MeSH:(129664331);PubMed	3178566	407.2904968261719	268.025	102_mapp_batch_00010_sirius_1513
14	1	1	2	N/A	-1067.9329418472407	0.9648241206030153	17.47576135730744	C60H80N4O15	[M + H]+	NTASRMQXGVAGOM	InChI=1S/C60H80N4O15/c1-9-32-25-57(6)26-37(55(70)71)28(2)24-60(57)52(68)48(54(69)64-60)51(67)59(8)33(21-41(32)65)17-18-35-38(59)14-12-16-43(35)77-45-20-19-42(29(3)73-45)76-47-27-58(7,50(66)31(5)75-47)79-46-23-44(49(61)30(4)74-46)78-56(72)40-22-36-34-13-10-11-15-39(34)62-53(36)63-40/h10-11,13,15,17-18,22,26,28-33,35,38,41-47,49-50,62-63,65-67H,9,12,14,16,19-21,23-25,27,61H2,1-8H3,(H,64,69)(H,70,71)	null	CCC1CC2(C=C(C(CC23C(=O)C(=C(C4(C5CCCC(C5C=CC4CC1O)OC6CCC(C(O6)C)OC7CC(C(C(O7)C)O)(C)OC8CC(C(C(O8)C)N)OC(=O)C9=CC1=C(N9)NC2=CC=CC=C21)C)O)C(=O)N3)C)C(=O)O)C	4.9000001	100957754	MeSH:(100957754);PubChem:(100957754);PubMed	70	1097.5722045898438	371.75	4809_mapp_batch_00010_sirius_7571
15	1	1	1	0.9939132900244514	-9.280285850831248	0.9929648241206033	27.777594022904744	C23H27N3O5	[M + H]+	RCMWNNJFKNDKQR	InChI=1S/C23H27N3O5/c24-18(13-16-8-10-17(27)11-9-16)22(29)26-12-4-7-20(26)21(28)25-19(23(30)31)14-15-5-2-1-3-6-15/h1-3,5-6,8-11,18-20,27H,4,7,12-14,24H2,(H,25,28)(H,30,31)	beta-CASOMORPHIN, Fragment 1-3	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3)C(=O)O	1.79534209	4670740;10002525;92222606;122172867;129360487;129539571	COCONUT:(CNP0342846);Training Set;PubChem:(4670740 10002525 92222606 122172867 129360487 129539571);PubMed;additional	2637890	426.2023162841797	87.063	928_mapp_batch_00010_sirius_1629
16	1	1	1	0.9937721608395873	-16.06570682084408	0.9999999999999999	47.93207211195416	C18H27N3O5	[M + H]+	SUPVSFFZWVOEOI	InChI=1S/C18H27N3O5/c1-10(2)8-14(19)17(24)20-11(3)16(23)21-15(18(25)26)9-12-4-6-13(22)7-5-12/h4-7,10-11,14-15,22H,8-9,19H2,1-3H3,(H,20,24)(H,21,23)(H,25,26)	ACMC-20mvvx	CC(C)CC(C(=O)NC(C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	0.872595131	9951003;19739646	COCONUT:(CNP0197243);Natural Products:(UNPD115091);PubChem:(9951003 19739646);SuperNatural:(SN00382883)	3178498	366.2024841308594	59.601	1457_mapp_batch_00010_sirius_6449
17	1	1	1	0.9934122817537184	-16.643911999094975	0.9999999999999999	58.835061666154175	C20H29N3O6	[M + H]+	WTMZXOPHTIVFCP	InChI=1S/C20H29N3O6/c1-3-12(2)17(23-18(26)14(21)9-10-16(24)25)19(27)22-15(20(28)29)11-13-7-5-4-6-8-13/h4-8,12,14-15,17H,3,9-11,21H2,1-2H3,(H,22,27)(H,23,26)(H,24,25)(H,28,29)	L-alpha-glutamyl-L-isoleucyl-L-phenylalanine	CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CCC(=O)O)N	0.896596551	18220309;71464662	PubChem:(18220309 71464662);CHEBI:(73497)	34	408.21307373046875	90.104	3248_mapp_batch_00010_sirius_162
18	1	1	1	0.9921563952477993	-51.05115951247319	0.9999999999999999	42.38289596296273	C18H27N3O5	[M + H]+	SUPVSFFZWVOEOI	InChI=1S/C18H27N3O5/c1-10(2)8-14(19)17(24)20-11(3)16(23)21-15(18(25)26)9-12-4-6-13(22)7-5-12/h4-7,10-11,14-15,22H,8-9,19H2,1-3H3,(H,20,24)(H,21,23)(H,25,26)	ACMC-20mvvx	CC(C)CC(C(=O)NC(C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N	0.872595131	9951003;19739646	COCONUT:(CNP0197243);Natural Products:(UNPD115091);PubChem:(9951003 19739646);SuperNatural:(SN00382883)	3178498	366.20225524902344	73.437	4900_mapp_batch_00010_sirius_4024
19	1	1	1	0.9905757410584414	-4.463066082596998	0.9999999999999999	83.99869272543125	C14H19N3O4	[M + H]+	VHLZDSUANXBJHW	InChI=1S/C14H19N3O4/c15-10(6-7-12(16)18)13(19)17-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H2,16,18)(H,17,19)(H,20,21)	2-[(2,5-diamino-5-oxopentanoyl)amino]-3-phenylpropanoic acid	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)N	-0.448366642	18218210;57288566	COCONUT:(CNP0334031);HMDB:(28804);PubChem:(18218210 57288566);CHEBI:(141430);additional;Training Set	2637866	294.144775390625	48.076	3193_mapp_batch_00010_sirius_598
20	1	1	1	0.9904407406065231	-1.731242762814078	0.9999999999999999	31.960449682815618	C13H18N2O4	[M + H]+	NYQBYASWHVRESG	InChI=1S/C13H18N2O4/c1-8(16)11(13(18)19)15-12(17)10(14)7-9-5-3-2-4-6-9/h2-6,8,10-11,16H,7,14H2,1H3,(H,15,17)(H,18,19)	L-phenylalanyl-L-threonine	CC(C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N)O	-0.0600232035	10445608;18218233;61159534;78985462;104965178;104965280	HMDB:(29005);Training Set;PubChem:(10445608 18218233 61159534 78985462 104965178 104965280);CHEBI:(73636);additional	540714	267.1340026855469	32.289	669_mapp_batch_00010_sirius_2185
21	1	1	1	0.9901902831439543	-2.9268771891893652	0.9999999999999999	23.623995518172016	C10H18N2O3	[M + H]+	AWJGUZSYVIVZGP	InChI=1S/C10H18N2O3/c1-6(2)8(10(14)15)12-9(13)7-4-3-5-11-7/h6-8,11H,3-5H2,1-2H3,(H,12,13)(H,14,15)	Prolylvaline	CC(C)C(C(=O)O)NC(=O)C1CCCN1	0.377495944	1549380;1549381;142984;152307;5256474;6992339;9834351;36688517;36688519;61157158;79011215;103868894	COCONUT:(CNP0371921);HMDB:(29030);PubChem:(1549380 1549381 142984 152307 5256474 6992339 9834351 36688517 36688519 61157158 79011215 103868894);SuperNatural:(SN00050553);CHEBI:(74800);ZINC bio:(ZINC01572030);additional;PubChem class - bio and metabolites;MeSH:(142984 152307);Training Set;PubMed	20471918	215.13938903808594	26.45	4292_mapp_batch_00010_sirius_7502
22	1	1	1	0.9901761236465111	-2.9345362936995025	0.9999999999999999	23.680843099090637	C10H18N2O3	[M + H]+	AWJGUZSYVIVZGP	InChI=1S/C10H18N2O3/c1-6(2)8(10(14)15)12-9(13)7-4-3-5-11-7/h6-8,11H,3-5H2,1-2H3,(H,12,13)(H,14,15)	Prolylvaline	CC(C)C(C(=O)O)NC(=O)C1CCCN1	0.377495944	1549380;1549381;142984;152307;5256474;6992339;9834351;36688517;36688519;61157158;79011215;103868894	COCONUT:(CNP0371921);HMDB:(29030);PubChem:(1549380 1549381 142984 152307 5256474 6992339 9834351 36688517 36688519 61157158 79011215 103868894);SuperNatural:(SN00050553);CHEBI:(74800);ZINC bio:(ZINC01572030);additional;PubChem class - bio and metabolites;MeSH:(142984 152307);Training Set;PubMed	20471918	215.1392822265625	26.45	409_mapp_batch_00010_sirius_2155
23	1	1	1	0.9891351757323292	-83.27645625527353	0.9999999999999999	43.727576384884905	C20H29N3O6	[M + H]+	WTMZXOPHTIVFCP	InChI=1S/C20H29N3O6/c1-3-12(2)17(23-18(26)14(21)9-10-16(24)25)19(27)22-15(20(28)29)11-13-7-5-4-6-8-13/h4-8,12,14-15,17H,3,9-11,21H2,1-2H3,(H,22,27)(H,23,26)(H,24,25)(H,28,29)	L-alpha-glutamyl-L-isoleucyl-L-phenylalanine	CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CCC(=O)O)N	0.896596551	18220309;71464662	PubChem:(18220309 71464662);CHEBI:(73497)	34	408.21258544921875	104.463	202_mapp_batch_00010_sirius_1379
24	1	1	1	0.988835636612101	-44.164897920418476	0.9999999999999999	75.25199155084363	C22H35NO2	[M + H]+	OVKKNJPJQKTXIT	InChI=1S/C22H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h3-4,6-7,9-10,12-13,15-16,24H,2,5,8,11,14,17-21H2,1H3,(H,23,25)	Anandamide (20:5, n-3)	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)NCCO	4.69999981	5283450;13604139;44373478;54171584;101438819	COCONUT:(CNP0001524);HMDB:(13649);PubChem:(5283450 13604139 44373478 54171584 101438819);CHEBI:(71467);additional;PubChem class - bio and metabolites;Training Set;PubMed	19415146	346.2743225097656	291.683	4711_mapp_batch_00010_sirius_7250
25	1	1	1	0.988097222332357	-21.059330026315227	0.9999999999999999	32.12505120041618	C20H29N3O5	[M + H]+	UCXQIIIFOOGYEM	InChI=1S/C20H29N3O5/c1-12(2)10-15(21)19(26)23-9-3-4-17(23)18(25)22-16(20(27)28)11-13-5-7-14(24)8-6-13/h5-8,12,15-17,24H,3-4,9-11,21H2,1-2H3,(H,22,25)(H,27,28)	L-leucyl-L-prolyl-L-tyrosine	CC(C)CC(C(=O)N1CCCC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N	1.30784094	11234718;18222237	PubChem:(11234718 18222237);CHEBI:(73581)	34	392.2188415527344	65.64	560_mapp_batch_00010_sirius_5600
26	1	1	1	0.9840466098351865	-13.138959764822793	0.9999999999999999	47.541389045984054	C10H19NO4	[M + H]+	UFAHZIUFPNSHSL	InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/p+1	Tocris-0611	CCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.200000003	107738;107739;157837;188824;451220;451226;9843139;12879828;45934163;46932223;71309925;126519206;126519207;129316412	HMDB:(824 62514);SuperNatural:(SN00002065 SN00002066);ZINC bio:(ZINC01529575 ZINC01529576);additional;HSDB:(17298-37-2);MeSH:(107738 107739);PubMed;NORMAN:(NS00015030);COCONUT:(CNP0082874);Natural Products:(UNPD152946);PubChem:(107738 107739 157837 188824 451220 451226 9843139 12879828 45934163 46932223 71309925 126519206 126519207 129316412);CHEBI:(53211 28867 53210);PubChem class - bio and metabolites;KEGG:(C03017);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-19737)	121432942	218.1387481689453	26.305	2131_mapp_batch_00010_sirius_357
27	1	1	1	0.9815885137390041	-25.103857253491924	0.9999999999999999	42.118286213727096	C20H29N3O5	[M + H]+	UCXQIIIFOOGYEM	InChI=1S/C20H29N3O5/c1-12(2)10-15(21)19(26)23-9-3-4-17(23)18(25)22-16(20(27)28)11-13-5-7-14(24)8-6-13/h5-8,12,15-17,24H,3-4,9-11,21H2,1-2H3,(H,22,25)(H,27,28)	L-leucyl-L-prolyl-L-tyrosine	CC(C)CC(C(=O)N1CCCC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N	1.30784094	11234718;18222237	PubChem:(11234718 18222237);CHEBI:(73581)	34	392.21832275390625	76.919	2466_mapp_batch_00010_sirius_7896
28	1	1	1	0.9809882549221389	-5.472082957945408	0.9999999999999999	56.700847484948056	C10H20N2O3	[M + H]+	KRNYOVHEKOBTEF	InChI=1S/C10H20N2O3/c1-5(2)7(11)9(13)12-8(6(3)4)10(14)15/h5-8H,11H2,1-4H3,(H,12,13)(H,14,15)	Valylvaline	CC(C)C(C(=O)NC(C(C)C)C(=O)O)N	0.171027035	107475;409682;4280382;6427011;6997292;6997289;6997290;6997291;6997293;6997294;61157157;61172248;79009906;79012985;129639406;129643457	HMDB:(29140);SuperNatural:(SN00051447);ZINC bio:(ZINC01848346);additional;MeSH:(107475 409682);PubMed;COCONUT:(CNP0082603);PubChem:(107475 409682 4280382 6427011 6997292 6997289 6997290 6997291 6997293 6997294 61157157 61172248 79009906 79012985 129639406 129643457);CHEBI:(73704);PubChem class - bio and metabolites;Training Set;PubChem class - drug	54026350	217.1547088623047	32.616	868_mapp_batch_00010_sirius_620
